Entity,Code,Year,Average cost of drugs spent per patient starting multidrug-resistant tuberculosis treatment
Brazil,BRA,2017,2834
Brazil,BRA,2018,3332
Brazil,BRA,2019,1695
Brazil,BRA,2020,765
Brazil,BRA,2021,6725
Brazil,BRA,2022,3388
China,CHN,2017,2235
China,CHN,2018,7522
China,CHN,2019,8246
China,CHN,2020,20287
China,CHN,2021,21495
China,CHN,2022,22007
India,IND,2017,1500
India,IND,2018,1800
India,IND,2019,1800
India,IND,2020,700
India,IND,2021,330
India,IND,2022,386
Indonesia,IDN,2017,1296
Indonesia,IDN,2018,1216
Indonesia,IDN,2019,1878
Indonesia,IDN,2020,2188
Indonesia,IDN,2021,1428
Indonesia,IDN,2022,787
Russia,RUS,2017,3107
Russia,RUS,2018,2507
Russia,RUS,2019,2327
Russia,RUS,2020,2683
Russia,RUS,2022,2964
