Entity,Code,Year,"Elderly literacy rate, population 65+ years, both sexes (%)","Literacy rate, youth total (% of people ages 15-24)",Population (historical estimates),Continent
Benin,BEN,2022,,66.4,,
Bhutan,BTN,2022,,98.0,,
Brazil,BRA,2022,,99.42,,
Burkina Faso,BFA,2022,,53.64,,
Egypt,EGY,2022,,92.24,,
Gabon,GAB,2022,,90.64,,
India,IND,2022,,96.53587,,
Kenya,KEN,2022,,89.01,,
Madagascar,MDG,2022,,80.73,,
Niger,NER,2022,,48.21,,
Sao Tome and Principe,STP,2022,,98.18,,
Senegal,SEN,2022,,78.14,,
Sierra Leone,SLE,2022,,73.46,,
Uganda,UGA,2022,,91.83,,
