Entity,Code,Year,Number of maternal deaths
Antigua and Barbuda,ATG,1985,0.58986
Antigua and Barbuda,ATG,1990,0.58027
Antigua and Barbuda,ATG,1995,0.50986
Antigua and Barbuda,ATG,2000,0.51298
Antigua and Barbuda,ATG,2005,0.34022
Antigua and Barbuda,ATG,2010,0.30784
Antigua and Barbuda,ATG,2015,0.27166
Antigua and Barbuda,ATG,2020,0.21248
Australia,AUS,1985,19.72019
Australia,AUS,1990,21.54795
Australia,AUS,1995,20.62048
Australia,AUS,2000,16.66763
Australia,AUS,2005,12.08666
Australia,AUS,2010,16.35574
Australia,AUS,2015,15.99428
Australia,AUS,2020,8.70687
Azerbaijan,AZE,1985,111.48587
Azerbaijan,AZE,1990,100.20557
Azerbaijan,AZE,1995,101.64364
Azerbaijan,AZE,2000,78.28439
Azerbaijan,AZE,2005,65.83924
Azerbaijan,AZE,2010,60.37047
Azerbaijan,AZE,2015,54.05526
Azerbaijan,AZE,2020,53.80804
Oman,OMN,1985,20.49745
Oman,OMN,1990,14.95939
Oman,OMN,1995,11.87793
Oman,OMN,2000,11.473
Oman,OMN,2005,10.65242
Oman,OMN,2010,11.57877
Oman,OMN,2015,13.26372
Oman,OMN,2020,14.79584
