Entity,Code,Year,"Number of new cases of hiv/aids per 100,000 people, in both sexes aged age-standardized"
Barbados,BRB,1990,31.950052
Barbados,BRB,1995,29.617483
Barbados,BRB,2000,27.035555
Barbados,BRB,2005,26.101358
Barbados,BRB,2010,22.298939
Barbados,BRB,2015,24.901638
Barbados,BRB,2019,26.416016
Belize,BLZ,1990,35.50808
Belize,BLZ,1995,43.99938
Belize,BLZ,2000,68.17296
Belize,BLZ,2005,38.602657
Belize,BLZ,2010,38.98284
Belize,BLZ,2015,47.740166
Belize,BLZ,2019,47.43764
Cameroon,CMR,1990,181.55588
Cameroon,CMR,1995,529.77325
Cameroon,CMR,2000,473.6522
Cameroon,CMR,2005,322.29117
Cameroon,CMR,2010,236.77754
Cameroon,CMR,2015,163.04553
Cameroon,CMR,2019,112.568344
Tajikistan,TJK,1990,1.804874
Tajikistan,TJK,1995,3.3092253
Tajikistan,TJK,2000,3.2106369
Tajikistan,TJK,2005,2.2853386
Tajikistan,TJK,2010,3.133658
Tajikistan,TJK,2015,4.9364686
Tajikistan,TJK,2019,5.60947
