Entity,Code,Year,Cumulative CO₂ emissions from flaring
Cameroon,CMR,1960,0
Cameroon,CMR,1980,0
Cameroon,CMR,2000,15514007
Cameroon,CMR,2022,55306570
Oman,OMN,1980,41782810
Oman,OMN,2000,90402380
Oman,OMN,2022,187571840
Saint Lucia,LCA,1960,0
Saint Lucia,LCA,1980,0
Saint Lucia,LCA,2000,0
Saint Lucia,LCA,2022,0
Slovakia,SVK,1860,0
Slovakia,SVK,1880,0
Slovakia,SVK,1900,0
Slovakia,SVK,1920,0
Slovakia,SVK,1940,0
Slovakia,SVK,1960,0
Slovakia,SVK,1980,0
Slovakia,SVK,2000,284339
Slovakia,SVK,2022,743838
Zambia,ZMB,1960,0
Zambia,ZMB,1980,0
Zambia,ZMB,2000,0
Zambia,ZMB,2022,0
