Entity,Code,Year,Mean male height (cm)
Europe and Central Asia,,1896,165.7233
Europe and Central Asia,,1920,169.0565
Europe and Central Asia,,1940,172.0884
Europe and Central Asia,,1960,175.2717
Europe and Central Asia,,1980,177.0891
Europe and Central Asia,,1996,177.2165
Latin America and Caribbean,,1896,160.1754
Latin America and Caribbean,,1920,164.2444
Latin America and Caribbean,,1940,167.445
Latin America and Caribbean,,1960,169.6808
Latin America and Caribbean,,1980,170.8106
Latin America and Caribbean,,1996,171.1056
Middle East and North Africa,,1896,159.5482
Middle East and North Africa,,1920,163.829
Middle East and North Africa,,1940,167.2717
Middle East and North Africa,,1960,169.9398
Middle East and North Africa,,1980,171.4602
Middle East and North Africa,,1996,170.5135
North America,,1896,167.8506
North America,,1920,170.7631
North America,,1940,173.3662
North America,,1960,174.8277
North America,,1980,175.8102
North America,,1996,175.9695
Sub-Saharan Africa,,1896,162.4242
Sub-Saharan Africa,,1920,164.7626
Sub-Saharan Africa,,1940,167.2719
Sub-Saharan Africa,,1960,169.5343
Sub-Saharan Africa,,1980,169.6388
Sub-Saharan Africa,,1996,167.3044
World,OWID_WRL,1896,162.4824417
World,OWID_WRL,1920,165.5000997
World,OWID_WRL,1940,168.1939944
World,OWID_WRL,1960,170.7061585
World,OWID_WRL,1980,171.8070764
World,OWID_WRL,1996,171.2803524
