Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Neonatal mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles
Belize,BLZ,1968,3.5720801
Belize,BLZ,1980,2.6898108
Belize,BLZ,1990,1.8639724
Belize,BLZ,2000,1.2013018
Belize,BLZ,2010,1.0220376
Belize,BLZ,2021,0.741897
Laos,LAO,1990,4.749942
Laos,LAO,2000,3.8315816
Laos,LAO,2010,2.8830333
Laos,LAO,2021,2.1032195
Mozambique,MOZ,1980,6.4634485
Mozambique,MOZ,1990,6.1966715
Mozambique,MOZ,2000,4.7498503
Mozambique,MOZ,2010,3.4150062
Mozambique,MOZ,2021,2.7510064
Saint Kitts and Nevis,KNA,1980,2.4150593
Saint Kitts and Nevis,KNA,1990,1.9131178
Saint Kitts and Nevis,KNA,2000,1.6636579
Saint Kitts and Nevis,KNA,2010,1.173773
Saint Kitts and Nevis,KNA,2021,0.9801049
