Entity,Code,Year,HDI male,HDI female,Population,Continent
Afghanistan,AFG,2021,0.53561085,0.36484024,40099460.0,
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,0.77325726,0.6802213,44177964.0,
Asia,,2021,,,4693332132.0,
Bahrain,BHR,2021,0.8940747,0.8289597,1463266.0,
Bangladesh,BGD,2021,0.68756896,0.6173748,169356240.0,
Barbados,BRB,2021,0.77253073,0.79911053,281204.0,
Benin,BEN,2021,0.5581017,0.49130404,12996901.0,
Brazil,BRA,2021,0.75468,0.7500131,214326224.0,
China,CHN,2021,0.773243,0.761168,1425893504.0,
Ethiopia,ETH,2021,0.5186188,0.47755176,120283024.0,
Europe,,2021,,,746417727.0,
Ghana,GHA,2021,0.64935267,0.614164,32833036.0,
Greece,GRC,2021,0.9001822,0.8719301,10445368.0,
Guinea,GIN,2021,0.5014528,0.4264408,13531909.0,
India,IND,2021,0.66781354,0.5666847,1407563904.0,
Indonesia,IDN,2021,0.7233456,0.6808431,273753184.0,
Iran,IRN,2021,0.799719,0.70406586,87923432.0,
Iraq,IRQ,2021,0.7282933,0.58513886,43533592.0,
Mali,MLI,2021,0.44987527,0.39913398,21904990.0,
Mongolia,MNG,2021,0.7264258,0.7489875,3347782.0,
Morocco,MAR,2021,0.7218097,0.6212518,37076588.0,
Mozambique,MOZ,2021,0.4640362,0.42801303,32077074.0,
Myanmar,MMR,2021,0.59875727,0.56527084,53798088.0,
Namibia,NAM,2021,0.6130573,0.615799,2530150.0,
Niger,NER,2021,0.4363705,0.36431453,25252722.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Oman,OMN,2021,0.835467,0.75183856,4520474.0,
Pakistan,PAK,2021,0.5818773,0.47139642,231402112.0,
Poland,POL,2021,0.8715138,0.878324,38307724.0,
Russia,RUS,2021,0.81516105,0.8284748,145102752.0,
South America,,2021,,,434254167.0,
Tanzania,TZA,2021,0.5647667,0.5324836,63588332.0,
Turkey,TUR,2021,0.8602853,0.8062053,84775408.0,
United States,USA,2021,0.9191861,0.91968894,336997632.0,
Venezuela,VEN,2021,0.6909322,0.6792185,28199862.0,
Yemen,YEM,2021,0.529016,0.26256964,32981644.0,
