Entity,Code,Year,"Literacy rate, adult female (% of total respondents) (DHS Surveys)","Literacy rate, adult female (% of females ages 15 and above)",Population (historical estimates),Continent
Afghanistan,AFG,2018,,,36686788.0,
Africa,,2018,,,1295265310.0,
Angola,AGO,2018,,,31273538.0,
Asia,,2018,,,4588802751.0,
Bangladesh,BGD,2018,,71.18194,163683952.0,
Benin,BEN,2018,,31.07165,11940688.0,
Cameroon,CMR,2018,,71.58627,25076752.0,
Chad,TCD,2018,,,15604213.0,
Comoros,COM,2018,,52.95639,776322.0,
Cote d'Ivoire,CIV,2018,,,25493990.0,
Democratic Republic of Congo,COD,2018,,,87087352.0,
Egypt,EGY,2018,,,103740768.0,
Europe,,2018,,,746577709.0,
Gabon,GAB,2018,,83.42397,2192013.0,
Gambia,GMB,2018,,,2444916.0,
Ghana,GHA,2018,,74.47439,30870648.0,
Guinea,GIN,2018,,27.69256,12554871.0,
India,IND,2018,,65.79081,1369003264.0,
Indonesia,IDN,2018,,93.99218,267066848.0,
Liberia,LBR,2018,,,4889396.0,
Madagascar,MDG,2018,,75.07058,26846544.0,
Malawi,MWI,2018,,,18367886.0,
Mali,MLI,2018,,25.73516,19934304.0,
Myanmar,MMR,2018,,,52666016.0,
Niger,NER,2018,,26.65,22577060.0,
Nigeria,NGA,2018,,52.65648,198387616.0,
North America,,2018,,,585864285.0,
Pakistan,PAK,2018,,45.3984,219731488.0,
Rwanda,RWA,2018,,69.39454,12531810.0,
Senegal,SEN,2018,,,15574910.0,
South America,,2018,,,424740741.0,
Tanzania,TZA,2018,,,58090444.0,
Uganda,UGA,2018,,70.83806,41515400.0,
Zambia,ZMB,2018,,83.08344,17835898.0,
