Entity,Code,Year,$1.90 a day - Share of population in poverty (Smoothed),818119-annotations
Middle East and North Africa (Moatsos),,1820,81.79167,
Middle East and North Africa (Moatsos),,1850,78.78992,
Middle East and North Africa (Moatsos),,1900,67.56949,
Middle East and North Africa (Moatsos),,1950,41.06607,
Middle East and North Africa (Moatsos),,2000,6.0950003,
Middle East and North Africa (Moatsos),,2018,4.464777,
Sub-Saharan Africa (Moatsos),,1820,94.38582,
Sub-Saharan Africa (Moatsos),,1850,97.28196,
Sub-Saharan Africa (Moatsos),,1900,85.04715,
Sub-Saharan Africa (Moatsos),,1950,75.72188,
Sub-Saharan Africa (Moatsos),,2000,59.87113,
Sub-Saharan Africa (Moatsos),,2018,40.79823,
Western Europe (Moatsos),,1820,55.77788,
Western Europe (Moatsos),,1850,45.707092,
Western Europe (Moatsos),,1900,23.93788,
Western Europe (Moatsos),,1950,14.533367,
Western Europe (Moatsos),,2000,0.0005226365,
Western Europe (Moatsos),,2018,0.51270574,
Western offshoots (Moatsos),,1820,56.18004,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1850,33.170082,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1900,10.994818,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1950,0.27398187,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,2000,0.702184,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,2018,1.1445073,"United States, Canada, Australia and New Zealand"
World,OWID_WRL,1820,79.36322,
World,OWID_WRL,1850,78.6288,
World,OWID_WRL,1900,65.44973,
World,OWID_WRL,1950,53.331646,
World,OWID_WRL,2000,26.534908,
World,OWID_WRL,2018,8.614398,
