Entity,Code,Year,LGBT+ Policy Index
Africa,,1991,-0.37102717
Africa,,1995,-0.3014679
Africa,,2000,-0.09349837
Africa,,2005,-0.10366413
Africa,,2010,-0.0023349153
Africa,,2015,-0.2970778
Africa,,2019,-0.3165294
Asia,,1991,-0.8905448
Asia,,1995,-0.8927947
Asia,,2000,0.2672102
Asia,,2005,0.62157726
Asia,,2010,1.0637568
Asia,,2015,1.0854367
Asia,,2019,1.4306483
Europe,,1991,1.5383673
Europe,,1995,2.190379
Europe,,2000,3.1929584
Europe,,2005,5.233248
Europe,,2010,5.895392
Europe,,2015,6.3230467
Europe,,2019,6.789554
North America,,1991,0.68672264
North America,,1995,0.971281
North America,,2000,1.5827107
North America,,2005,2.520136
North America,,2010,3.306556
North America,,2015,6.1422915
North America,,2019,6.2730827
Oceania,,1991,0.67604905
Oceania,,1995,2.005476
Oceania,,2000,2.660096
Oceania,,2005,3.7914934
Oceania,,2010,5.0816436
Oceania,,2015,5.9718328
Oceania,,2019,7.0153217
South America,,1991,1.1532466
South America,,1995,1.2347918
South America,,2000,2.1956801
South America,,2005,3.8475232
South America,,2010,5.4194107
South America,,2015,7.2829113
South America,,2019,7.73858
World,OWID_WRL,1991,-0.25511938
World,OWID_WRL,1995,-0.14539887
World,OWID_WRL,2000,0.7912725
World,OWID_WRL,2005,1.3809197
World,OWID_WRL,2010,1.8533362
World,OWID_WRL,2015,2.1445105
World,OWID_WRL,2019,2.3938816
