Entity,Code,Year,Life Expectancy (IHME),Years lived with disability,Population (historical estimates),Continent
Afghanistan,AFG,2016,57.95,8.46,34636212.0,
Africa,,2016,,,1232111820.0,
Algeria,DZA,2016,77.41,11.34,40339328.0,
Angola,AGO,2016,64.64,8.34,29154742.0,
Asia,,2016,,,4502955714.0,
Bangladesh,BGD,2016,72.62,9.85,159784576.0,
Belarus,BLR,2016,73.6,9.51,9708111.0,
Bhutan,BTN,2016,73.79,10.61,749764.0,
Bolivia,BOL,2016,73.24,9.24,11263016.0,
Brazil,BRA,2016,75.24,9.76,206859584.0,
Burundi,BDI,2016,60.34,6.83,10903329.0,
Central African Republic,CAF,2016,50.16,6.51,4904182.0,
Chile,CHL,2016,80.32,10.42,18083880.0,
China,CHN,2016,76.36,8.51,1401889664.0,
Colombia,COL,2016,78.26,9.17,47625960.0,
Democratic Republic of Congo,COD,2016,61.56,8.45,81430976.0,
Eritrea,ERI,2016,63.66,7.5,3365288.0,
Eswatini,SWZ,2016,57.44,7.82,1142529.0,
Ethiopia,ETH,2016,65.63,7.72,105293232.0,
Europe,,2016,,,744516175.0,
Guyana,GUY,2016,67.74,8.57,759097.0,
Haiti,HTI,2016,63.97,8.07,10713845.0,
India,IND,2016,68.55,9.66,1338636288.0,
Indonesia,IDN,2016,71.66,8.71,261850176.0,
Iran,IRN,2016,75.94,11.15,83306232.0,
Italy,ITA,2016,82.34,10.59,60118628.0,
Japan,JPN,2016,83.94,10.78,126993856.0,
Kenya,KEN,2016,66.84,8.25,47894668.0,
Liberia,LBR,2016,64.38,9.11,4706106.0,
Malawi,MWI,2016,60.18,7.46,17405624.0,
Mali,MLI,2016,61.84,8.15,18700108.0,
Mauritania,MRT,2016,70.16,9.17,4051896.0,
Mexico,MEX,2016,76.38,9.32,121519224.0,
Mozambique,MOZ,2016,60.02,7.94,27696500.0,
Nigeria,NGA,2016,65.02,8.74,188666928.0,
North America,,2016,79.16,11.12,576008328.0,
North Korea,PRK,2016,70.85,7.84,25389614.0,
Oceania,,2016,62.19,7.85,41101240.0,
Pakistan,PAK,2016,67.61,8.98,213524848.0,
Peru,PER,2016,79.74,9.9,31132776.0,
Philippines,PHL,2016,70.1,8.46,104875272.0,
Poland,POL,2016,77.93,10.33,38532108.0,
Somalia,SOM,2016,57.13,6.75,14292848.0,
South America,,2016,,,417101806.0,
Spain,ESP,2016,82.97,10.35,46473320.0,
Sudan,SDN,2016,68.3,10.13,39377168.0,
Switzerland,CHE,2016,83.18,11.24,8372902.0,
Taiwan,TWN,2016,79.66,9.52,23594476.0,
Thailand,THA,2016,77.7,9.77,70607032.0,
Tunisia,TUN,2016,77.46,10.85,11685666.0,
Uganda,UGA,2016,62.2,7.86,38748308.0,
United Arab Emirates,ARE,2016,75.51,10.43,8994266.0,
United Kingdom,GBR,2016,80.9,10.85,65655204.0,
United States,USA,2016,78.86,11.16,327210208.0,
Vietnam,VNM,2016,74.55,8.64,93126528.0,
Yemen,YEM,2016,66.68,10.68,29274010.0,
Zambia,ZMB,2016,58.62,7.16,16767758.0,
