Entity,Code,Year,Fixed telephone subscriptions (per 100 people)
Brazil,BRA,1960,0.88928396
Brazil,BRA,1970,1.2970859
Brazil,BRA,1980,4.0478086
Brazil,BRA,1990,6.2432632
Brazil,BRA,2000,17.584362
Brazil,BRA,2010,21.462015
Brazil,BRA,2021,13.476407
Gambia,GMB,1970,0.18724042
Gambia,GMB,1980,0.29919872
Gambia,GMB,1990,0.5927259
Gambia,GMB,2000,2.316459
Gambia,GMB,2010,2.5178149
Malawi,MWI,1960,0.09665622
Malawi,MWI,1970,0.12972577
Malawi,MWI,1980,0.23223461
Malawi,MWI,1990,0.2792551
Malawi,MWI,2000,0.41359338
Malawi,MWI,2010,1.0334532
Malawi,MWI,2021,0.0626705
Middle East and North Africa (WB),,1960,0.7777249
Middle East and North Africa (WB),,1970,1.2093096
Middle East and North Africa (WB),,1980,2.6868684
Middle East and North Africa (WB),,1990,4.526292
Middle East and North Africa (WB),,2000,9.981425
Middle East and North Africa (WB),,2010,16.020483
Middle East and North Africa (WB),,2021,16.088024
Singapore,SGP,1960,2.3179994
Singapore,SGP,1970,5.16255
Singapore,SGP,1980,22.351627
Singapore,SGP,1990,34.873234
Singapore,SGP,2000,48.006687
Singapore,SGP,2010,38.657215
Singapore,SGP,2021,31.770424
