Entity,Code,Year,Neonates protected at birth against neonatal tetanus (PAB) (%)
Brazil,BRA,1990,63
Brazil,BRA,1995,78
Brazil,BRA,2000,92
Brazil,BRA,2005,67
Brazil,BRA,2010,92
Brazil,BRA,2015,93
Brazil,BRA,2020,96
India,IND,1980,20
India,IND,1985,49
India,IND,1990,81
India,IND,1995,83
India,IND,2000,85
India,IND,2005,86
India,IND,2010,87
India,IND,2015,87
India,IND,2020,90
Mexico,MEX,1980,5
Mexico,MEX,1985,36
Mexico,MEX,1990,59
Mexico,MEX,1995,71
Mexico,MEX,2000,81
Mexico,MEX,2005,86
Mexico,MEX,2010,88
Mexico,MEX,2015,90
Mexico,MEX,2020,96
South Africa,ZAF,1995,29
South Africa,ZAF,2000,68
South Africa,ZAF,2005,59
South Africa,ZAF,2010,77
South Africa,ZAF,2015,80
South Africa,ZAF,2020,90
Thailand,THA,1980,25
Thailand,THA,1985,41
Thailand,THA,1990,75
Thailand,THA,1995,87
Thailand,THA,2000,85
Thailand,THA,2005,88
Thailand,THA,2010,91
Thailand,THA,2015,95
Thailand,THA,2020,98
Vietnam,VNM,1990,24
Vietnam,VNM,1995,80
Vietnam,VNM,2000,86
Vietnam,VNM,2005,86
Vietnam,VNM,2010,87
Vietnam,VNM,2015,94
Vietnam,VNM,2020,96
