Entity,Code,Year,Deaths - Road injuries - Sex: Both - Age: Age-standardized (Rate),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,26.58,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,27.92,11627.28,42705372.0,
Angola,AGO,2019,38.73,6602.424,32353592.0,
Asia,,2019,,,4627738749.0,
Azerbaijan,AZE,2019,7.59,14442.041,10232761.0,
Bahamas,BHS,2019,13.63,35161.832,404563.0,
Bangladesh,BGD,2019,5.63,5467.208,165516224.0,
Bermuda,BMU,2019,8.13,81681.73,63833.0,
Bolivia,BOL,2019,19.7,8528.749,11777318.0,
Bosnia and Herzegovina,BIH,2019,4.72,14634.738,3360718.0,
Brunei,BRN,2019,15.64,61424.363,438058.0,
Burkina Faso,BFA,2019,32.26,2110.0623,20951638.0,
Burundi,BDI,2019,25.31,729.65845,11874838.0,
Cameroon,CMR,2019,31.46,3756.5095,25782342.0,
Central African Republic,CAF,2019,67.12,861.7668,5209329.0,
Chad,TCD,2019,23.0,1561.9967,16126868.0,
Congo,COG,2019,35.58,3695.0618,5570736.0,
Cote d'Ivoire,CIV,2019,19.32,5126.6343,26147544.0,
Cyprus,CYP,2019,9.13,41746.918,1228840.0,
Democratic Republic of Congo,COD,2019,42.18,1059.8921,89906896.0,
Egypt,EGY,2019,36.0,11180.697,105618672.0,
Eswatini,SWZ,2019,40.69,8501.267,1169620.0,
Ethiopia,ETH,2019,14.51,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,10.28,13241.354,918472.0,
Gambia,GMB,2019,18.53,2083.309,2508882.0,
Germany,DEU,2019,4.33,53874.316,83148144.0,
Ghana,GHA,2019,21.84,5345.9414,31522294.0,
Haiti,HTI,2019,11.71,3101.5942,11160441.0,
India,IND,2019,15.91,6608.624,1383112064.0,
Indonesia,IDN,2019,14.91,11857.789,269582880.0,
Iran,IRN,2019,25.44,14084.354,86564208.0,
Italy,ITA,2019,6.36,42739.05,59727936.0,
Jamaica,JAM,2019,6.05,10244.366,2813776.0,
Japan,JPN,2019,3.37,41697.41,125791680.0,
Kenya,KEN,2019,14.76,4601.2114,50951452.0,
Kuwait,KWT,2019,16.26,47314.797,4441105.0,
Lesotho,LSO,2019,49.17,2533.1191,2225710.0,
Libya,LBY,2019,31.79,22535.445,6569085.0,
Luxembourg,LUX,2019,5.56,114542.5,619981.0,
Malawi,MWI,2019,17.4,1517.7031,18867340.0,
Malaysia,MYS,2019,24.71,27674.402,32804024.0,
Mauritania,MRT,2019,25.84,5505.6465,4383853.0,
Mozambique,MOZ,2019,29.55,1285.1848,30285602.0,
Nepal,NPL,2019,11.47,3922.0813,28832500.0,
Niger,NER,2019,17.43,1217.446,23443400.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,55.73,33814.113,4602769.0,
Pakistan,PAK,2019,10.62,5157.5464,223293280.0,
Philippines,PHL,2019,10.58,8731.861,110380800.0,
Qatar,QAT,2019,34.09,90840.43,2807242.0,
Russia,RUS,2019,13.35,27254.574,145742288.0,
Saudi Arabia,SAU,2019,58.22,44954.992,35827364.0,
Senegal,SEN,2019,17.23,3430.484,16000783.0,
Singapore,SGP,2019,2.64,98283.31,5866408.0,
South Africa,ZAF,2019,33.62,13852.206,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,26.21,4133.1304,43232092.0,
Tajikistan,TJK,2019,8.58,3575.2798,9337008.0,
Thailand,THA,2019,25.23,18003.672,71307768.0,
Togo,TGO,2019,21.47,2080.5242,8243093.0,
Tunisia,TUN,2019,20.32,11100.82,12049319.0,
Turkey,TUR,2019,9.02,28150.059,83481688.0,
Uganda,UGA,2019,23.98,2250.015,42949076.0,
United Arab Emirates,ARE,2019,43.66,71782.16,9211660.0,
United States,USA,2019,11.14,62478.254,334319680.0,
Vanuatu,VUT,2019,25.59,3070.3508,304414.0,
Vietnam,VNM,2019,24.01,10252.005,95776712.0,
World,OWID_WRL,2019,14.99,16847.46,7764951040.0,
Zambia,ZMB,2019,20.31,3372.359,18380478.0,
