Entity,Code,Year,Deaths - Self-harm by firearm - Sex: Both - Age: Age-standardized (Rate)
Albania,ALB,1990,0.79
Albania,ALB,1995,0.95
Albania,ALB,2000,1.36
Albania,ALB,2005,1.23
Albania,ALB,2010,0.87
Albania,ALB,2015,0.93
Albania,ALB,2019,0.89
Belgium,BEL,1990,2.55
Belgium,BEL,1995,2.64
Belgium,BEL,2000,2.56
Belgium,BEL,2005,1.95
Belgium,BEL,2010,1.5
Belgium,BEL,2015,1.14
Belgium,BEL,2019,1.1
Cuba,CUB,1990,0.64
Cuba,CUB,1995,0.64
Cuba,CUB,2000,0.43
Cuba,CUB,2005,0.31
Cuba,CUB,2010,0.25
Cuba,CUB,2015,0.19
Cuba,CUB,2019,0.2
Germany,DEU,1990,1.27
Germany,DEU,1995,1.12
Germany,DEU,2000,0.94
Germany,DEU,2005,0.8
Germany,DEU,2010,0.69
Germany,DEU,2015,0.62
Germany,DEU,2019,0.6
United States,USA,1990,6.86
United States,USA,1995,6.59
United States,USA,2000,5.79
United States,USA,2005,5.62
United States,USA,2010,5.69
United States,USA,2015,6.03
United States,USA,2019,5.76
Vanuatu,VUT,1990,1.44
Vanuatu,VUT,1995,1.58
Vanuatu,VUT,2000,1.4
Vanuatu,VUT,2005,1.28
Vanuatu,VUT,2010,1.24
Vanuatu,VUT,2015,1.2
Vanuatu,VUT,2019,1.16
Vietnam,VNM,1990,0.21
Vietnam,VNM,1995,0.19
Vietnam,VNM,2000,0.17
Vietnam,VNM,2005,0.16
Vietnam,VNM,2010,0.16
Vietnam,VNM,2015,0.15
Vietnam,VNM,2019,0.14
