Entity,Code,Year,Cumulative number of AI systems by researcher affiliation
Academia,,1990,34
Academia,,1995,39
Academia,,2000,47
Academia,,2005,62
Academia,,2010,99
Academia,,2015,149
Academia,,2020,231
Academia,,2023,275
Academia and industry collaboration,,1990,1
Academia and industry collaboration,,1995,1
Academia and industry collaboration,,2000,4
Academia and industry collaboration,,2005,5
Academia and industry collaboration,,2010,10
Academia and industry collaboration,,2015,34
Academia and industry collaboration,,2020,100
Academia and industry collaboration,,2023,158
Industry,,1990,8
Industry,,1995,12
Industry,,2000,14
Industry,,2005,17
Industry,,2010,28
Industry,,2015,48
Industry,,2020,178
Industry,,2023,328
Other,,1990,0
Other,,1995,0
Other,,2000,0
Other,,2005,0
Other,,2010,0
Other,,2015,0
Other,,2020,4
Other,,2023,13
