Entity,Code,Year,Number of ongoing conflicts per state - Conflict type: one-sided violence,Number of ongoing conflicts per state - Conflict type: non-state conflict,Number of ongoing conflicts per state - Conflict type: extrasystemic,Number of ongoing conflicts per state - Conflict type: intrastate,Number of ongoing conflicts per state - Conflict type: interstate
World,OWID_WRL,1989,0.15204678,0.11111111,0,0.22807017,0.0116959065
World,OWID_WRL,1991,0.19459459,0.11891892,0,0.27567568,0.010810811
World,OWID_WRL,1993,0.24736843,0.17894737,0,0.23157895,0.0
World,OWID_WRL,1995,0.18848167,0.13612565,0,0.20942408,0.005235602
World,OWID_WRL,1997,0.15183246,0.15183246,0,0.19895288,0.005235602
World,OWID_WRL,1999,0.19895288,0.18324608,0,0.19895288,0.010471204
World,OWID_WRL,2001,0.17801048,0.20418848,0,0.19371727,0.010471204
World,OWID_WRL,2003,0.23958333,0.21354167,0,0.16145833,0.010416667
World,OWID_WRL,2005,0.1875,0.15625,0,0.171875,0.0
World,OWID_WRL,2007,0.14507772,0.12953368,0,0.18134715,0.0
World,OWID_WRL,2009,0.11734694,0.1632653,0,0.18877551,0.0
World,OWID_WRL,2011,0.12182741,0.21827412,0,0.18274112,0.005076142
World,OWID_WRL,2013,0.1573604,0.2893401,0,0.1928934,0.005076142
World,OWID_WRL,2015,0.1573604,0.3857868,0,0.26903552,0.005076142
World,OWID_WRL,2017,0.18274112,0.44162437,0,0.25888324,0.005076142
World,OWID_WRL,2019,0.16751269,0.37563452,0,0.2741117,0.010152284
World,OWID_WRL,2022,0.2284264,0.41624364,0,0.26395938,0.015228426
