Entity,Code,Year,"Population, total"
High-income countries,,1960,779546518
High-income countries,,1970,872549599
High-income countries,,1980,956797888
High-income countries,,1990,1026705783
High-income countries,,2000,1101322358
High-income countries,,2010,1179656335
High-income countries,,2021,1240629858
Low-income countries,,1960,142398818
Low-income countries,,1970,182635610
Low-income countries,,1980,235790724
Low-income countries,,1990,302800184
Low-income countries,,2000,400821583
Low-income countries,,2010,534960135
Low-income countries,,2021,718255072
Lower-middle-income countries,,1960,989601453
Lower-middle-income countries,,1970,1253637563
Lower-middle-income countries,,1980,1586297948
Lower-middle-income countries,,1990,2016581827
Lower-middle-income countries,,2000,2459549814
Lower-middle-income countries,,2010,2904506894
Lower-middle-income countries,,2021,3398187527
Upper-middle-income countries,,1960,1111861113
Upper-middle-income countries,,1970,1370128680
Upper-middle-income countries,,1980,1648343471
Upper-middle-income countries,,1990,1927678769
Upper-middle-income countries,,2000,2158201213
Upper-middle-income countries,,2010,2321793515
Upper-middle-income countries,,2021,2503136362
