Entity,Code,Year,Gender Development Index,"GDP per capita, PPP (constant 2017 international $)",Population,Continent
Afghanistan,AFG,2021,0.681,1516.3057,40099460.0,
Africa,,2021,,,1393676724.0,
Asia,,2021,,,4693332132.0,
Azerbaijan,AZE,2021,0.974,14431.661,10312992.0,
Bangladesh,BGD,2021,0.898,5911.013,169356240.0,
Burundi,BDI,2021,0.935,705.0304,12551215.0,
Central African Republic,CAF,2021,0.81,837.5047,5457165.0,
Chad,TCD,2021,0.77,1425.4945,17179744.0,
China,CHN,2021,0.984,17602.695,1425893504.0,
Democratic Republic of Congo,COD,2021,0.885,1073.6433,95894120.0,
Egypt,EGY,2021,0.882,11566.05,109262184.0,
Ethiopia,ETH,2021,0.921,2319.0684,120283024.0,
Europe,,2021,,,746417727.0,
Gabon,GAB,2021,0.908,13813.723,2341185.0,
Germany,DEU,2021,0.978,53179.656,83408560.0,
Guatemala,GTM,2021,0.917,8926.7,17608484.0,
Guinea,GIN,2021,0.85,2640.3442,13531909.0,
Honduras,HND,2021,0.96,5572.177,10278346.0,
India,IND,2021,0.849,6592.042,1407563904.0,
Indonesia,IDN,2021,0.941,11858.146,273753184.0,
Iran,IRN,2021,0.88,15004.6875,87923432.0,
Iraq,IRQ,2021,0.803,8962.395,43533592.0,
Ireland,IRL,2021,0.987,102496.22,4986525.0,
Japan,JPN,2021,0.97,40784.383,124612528.0,
Lesotho,LSO,2021,0.985,2295.2322,2281464.0,
Lithuania,LTU,2021,1.03,39305.613,2786652.0,
Madagascar,MDG,2021,0.956,1463.6288,28915652.0,
Malaysia,MYS,2021,0.982,26333.156,33573872.0,
Maldives,MDV,2021,0.925,18765.217,521469.0,
Mozambique,MOZ,2021,0.922,1226.767,32077074.0,
Myanmar,MMR,2021,0.944,4032.6257,53798088.0,
Niger,NER,2021,0.835,1186.5768,25252722.0,
Nigeria,NGA,2021,0.863,4922.6323,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Oman,OMN,2021,0.9,34294.766,4520474.0,
Pakistan,PAK,2021,0.81,5232.1426,231402112.0,
Philippines,PHL,2021,0.99,8094.693,113880336.0,
Russia,RUS,2021,1.016,27960.102,145102752.0,
Rwanda,RWA,2021,0.954,2238.9573,13461891.0,
Saudi Arabia,SAU,2021,0.917,44339.312,35950396.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,0.944,44232.207,51830136.0,
Sudan,SDN,2021,0.87,3701.069,45657204.0,
Tajikistan,TJK,2021,0.909,3903.32,9750078.0,
Togo,TGO,2021,0.849,2124.8042,8644829.0,
Turkey,TUR,2021,0.937,31466.56,84775408.0,
Ukraine,UKR,2021,1.012,12943.614,43531424.0,
United States,USA,2021,1.001,63669.71,336997632.0,
Uzbekistan,UZB,2021,0.944,7734.8325,34081452.0,
