Entity,Code,Year,Annual CO₂ emissions from land-use change,Annual CO₂ emissions
Brazil,BRA,1850,41219050.0,
Brazil,BRA,1880,91209090.0,
Brazil,BRA,1900,167412110.0,
Brazil,BRA,1920,407554600.0,3645680.0
Brazil,BRA,1940,319037660.0,6485943.0
Brazil,BRA,1960,1067340600.0,46851820.0
Brazil,BRA,1980,1465660500.0,186190690.0
Brazil,BRA,2022,1112991500.0,483477300.0
China,CHN,1850,237244110.0,
China,CHN,1880,-8423683.0,
China,CHN,1900,117208730.0,
China,CHN,1920,305269860.0,40278456.0
China,CHN,1940,174659890.0,90790530.0
China,CHN,1960,529617800.0,798799940.0
China,CHN,1980,653866600.0,1494495900.0
China,CHN,2022,981503740.0,11396777000.0
Germany,DEU,1850,25267200.0,15139648.0
Germany,DEU,1880,18757298.0,124502720.0
Germany,DEU,1900,29617174.0,326759200.0
Germany,DEU,1920,8550274.0,429208300.0
Germany,DEU,1940,13058130.0,654325000.0
Germany,DEU,1960,-74302040.0,813950200.0
Germany,DEU,1980,-36377070.0,1100066000.0
Germany,DEU,2022,-8088792.5,665604700.0
Indonesia,IDN,1850,122024460.0,
Indonesia,IDN,1880,286403300.0,
Indonesia,IDN,1900,584024000.0,1209120.0
Indonesia,IDN,1920,488334900.0,8262319.5
Indonesia,IDN,1940,487952400.0,28733088.0
Indonesia,IDN,1960,445742340.0,21385192.0
Indonesia,IDN,1980,223593330.0,94872870.0
Indonesia,IDN,2022,918613400.0,728883260.0
United Kingdom,GBR,1850,8536607.0,122350150.0
United Kingdom,GBR,1880,37501920.0,297124770.0
United Kingdom,GBR,1900,37160436.0,419740500.0
United Kingdom,GBR,1920,17535722.0,470750720.0
United Kingdom,GBR,1940,15534884.0,475143870.0
United Kingdom,GBR,1960,21782554.0,584020030.0
United Kingdom,GBR,1980,2568610.8,579035400.0
United Kingdom,GBR,2022,15930595.0,318654370.0
United States,USA,1850,806636900.0,19792928.0
United States,USA,1880,1547140100.0,198684240.0
United States,USA,1900,1528034700.0,662738400.0
United States,USA,1920,1215809300.0,1738245800.0
United States,USA,1940,606106800.0,1874985100.0
United States,USA,1960,190493230.0,2897315000.0
United States,USA,1980,265712180.0,4808556000.0
United States,USA,2022,141749500.0,5057303600.0
