Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged age-standardized"
Barbados,BRB,1990,50.452816
Barbados,BRB,1995,49.30123
Barbados,BRB,2000,43.719723
Barbados,BRB,2005,37.955704
Barbados,BRB,2010,34.20299
Barbados,BRB,2015,36.361652
Barbados,BRB,2019,36.567055
Benin,BEN,1990,21.309423
Benin,BEN,1995,21.90455
Benin,BEN,2000,26.873735
Benin,BEN,2005,24.690441
Benin,BEN,2010,27.225481
Benin,BEN,2015,34.633743
Benin,BEN,2019,35.01735
Marshall Islands,MHL,1990,21.888391
Marshall Islands,MHL,1995,25.395777
Marshall Islands,MHL,2000,31.25855
Marshall Islands,MHL,2005,34.961594
Marshall Islands,MHL,2010,35.87685
Marshall Islands,MHL,2015,34.993774
Marshall Islands,MHL,2019,36.624294
Norway,NOR,1990,23.505743
Norway,NOR,1995,18.113094
Norway,NOR,2000,14.73671
Norway,NOR,2005,8.566345
Norway,NOR,2010,7.1877704
Norway,NOR,2015,4.5830317
Norway,NOR,2019,3.786765
