Entity,Code,Year,Arable land (% of land area)
El Salvador,SLV,1961,23.405275
El Salvador,SLV,1970,21.582733
El Salvador,SLV,1980,26.930502
El Salvador,SLV,1990,26.544401
El Salvador,SLV,2000,30.265444
El Salvador,SLV,2010,31.631273
El Salvador,SLV,2020,34.7973
Italy,ITA,1961,43.731937
Italy,ITA,1970,40.74666
Italy,ITA,1980,32.24304
Italy,ITA,1990,30.641596
Italy,ITA,2000,28.672586
Italy,ITA,2010,23.813227
Italy,ITA,2020,23.099789
Ukraine,UKR,2000,56.20782
Ukraine,UKR,2010,56.060555
Ukraine,UKR,2020,56.824303
Zimbabwe,ZWE,1961,4.8726897
Zimbabwe,ZWE,1970,6.035931
Zimbabwe,ZWE,1980,6.475378
Zimbabwe,ZWE,1990,7.5222955
Zimbabwe,ZWE,2000,9.305933
Zimbabwe,ZWE,2010,10.339925
Zimbabwe,ZWE,2020,10.339925
