Entity,Code,Year,Per-capita methane emissions in CO₂ equivalents
China,CHN,1850,0.61757666
China,CHN,1860,0.61432755
China,CHN,1880,0.61833537
China,CHN,1900,0.6208719
China,CHN,1920,0.6324549
China,CHN,1940,0.6449295
China,CHN,1960,0.86179256
China,CHN,1980,0.8450875
China,CHN,2000,0.8955356
China,CHN,2021,1.2665151
United Kingdom,GBR,1850,2.1179028
United Kingdom,GBR,1860,2.2872922
United Kingdom,GBR,1880,2.5721302
United Kingdom,GBR,1900,2.7164397
United Kingdom,GBR,1920,2.6511676
United Kingdom,GBR,1940,2.6863635
United Kingdom,GBR,1960,3.0327582
United Kingdom,GBR,1980,2.6670523
United Kingdom,GBR,2000,1.9287853
United Kingdom,GBR,2021,0.6521478
United States,USA,1850,3.017325
United States,USA,1860,2.97976
United States,USA,1880,2.8072703
United States,USA,1900,2.7864602
United States,USA,1920,3.386266
United States,USA,1940,2.9785767
United States,USA,1960,3.7535276
United States,USA,1980,3.9455564
United States,USA,2000,2.7628853
United States,USA,2021,1.9937135
World,OWID_WRL,1850,0.96917176
World,OWID_WRL,1860,1.0132852
World,OWID_WRL,1880,1.0906085
World,OWID_WRL,1900,1.1790785
World,OWID_WRL,1920,1.2427748
World,OWID_WRL,1940,1.3420233
World,OWID_WRL,1960,1.6706169
World,OWID_WRL,1980,1.6210601
World,OWID_WRL,2000,1.3662251
World,OWID_WRL,2021,1.3284258
