Entity,Code,Year,Coal - % electricity
Bahrain,BHR,2000,0.0
Bahrain,BHR,2005,0.0
Bahrain,BHR,2010,0.0
Bahrain,BHR,2015,0.0
Bahrain,BHR,2020,0.0
Cape Verde,CPV,2000,0.0
Cape Verde,CPV,2005,0.0
Cape Verde,CPV,2010,0.0
Cape Verde,CPV,2015,0.0
Cape Verde,CPV,2020,0.0
Democratic Republic of Congo,COD,2000,0.0
Democratic Republic of Congo,COD,2005,0.0
Democratic Republic of Congo,COD,2010,0.0
Democratic Republic of Congo,COD,2015,0.0
Democratic Republic of Congo,COD,2020,0.0
Italy,ITA,1985,16.163992
Italy,ITA,1990,15.03636
Italy,ITA,1995,10.177216
Italy,ITA,2000,9.764072
Italy,ITA,2005,14.747058
Italy,ITA,2010,13.336691
Italy,ITA,2015,15.376401
Italy,ITA,2020,4.811738
Italy,ITA,2022,7.628279
Nigeria,NGA,2000,3.886926
Nigeria,NGA,2005,3.6395915
Nigeria,NGA,2010,3.2944958
Nigeria,NGA,2015,2.24026
Nigeria,NGA,2020,1.8499832
Nigeria,NGA,2022,1.7751479
Uruguay,URY,2000,0.0
Uruguay,URY,2005,0.0
Uruguay,URY,2010,0.0
Uruguay,URY,2015,0.0
Uruguay,URY,2020,0.0
Uruguay,URY,2022,0.0
