Entity,Code,Year,terr_contr_vdem_owid,terr_contr_vdem_high_owid,terr_contr_vdem_low_owid
Argentina,ARG,1850,62.0,62.0,62.0
Argentina,ARG,1900,92.714,97.521,87.337
Argentina,ARG,1950,96.0,99.6,92.4
Argentina,ARG,2000,97.462,98.387,96.382
Argentina,ARG,2022,98.75,99.818,97.682
Australia,AUS,1950,99.154,99.544,98.61
Australia,AUS,2000,99.154,99.544,98.61
Australia,AUS,2022,98.333,99.685,96.982
Botswana,BWA,2000,98.533,99.133,97.8
Botswana,BWA,2022,98.333,99.851,96.816
China,CHN,1789,97.5,99.283,95.717
China,CHN,1850,97.0,98.383,95.617
China,CHN,1900,75.583,82.448,67.885
China,CHN,1950,97.2,98.239,96.161
China,CHN,2000,97.8,98.828,96.772
China,CHN,2022,96.778,98.118,95.216
