Entity,Code,Year,"8.5.2 - Unemployment rate, by sex and disability - 13th ICLS (%) - SL_TLF_UEMDIS - Persons without disability - Both sexes","8.5.2 - Unemployment rate, by sex and disability - 13th ICLS (%) - SL_TLF_UEMDIS - Persons with disability - Both sexes",Population,Continent
Africa,,2022,,,1426736614.0,
Angola,AGO,2022,,,35588996.0,
Armenia,ARM,2022,,,2780472.0,
Asia,,2022,,,4721383370.0,
Austria,AUT,2022,,,8939617.0,
Belgium,BEL,2022,,,11655923.0,
Benin,BEN,2022,,,13352864.0,
Botswana,BWA,2022,,,2630300.0,
Cambodia,KHM,2022,,,16767851.0,
Colombia,COL,2022,,,51874028.0,
Costa Rica,CRI,2022,,,5180836.0,
Cote d'Ivoire,CIV,2022,,,28160548.0,
Croatia,HRV,2022,,,4030361.0,
Djibouti,DJI,2022,,,1120851.0,
East Timor,TLS,2022,,,1341298.0,
Ethiopia,ETH,2022,,,123379928.0,
Europe,,2022,,,744806995.0,
Fiji,FJI,2022,,,929769.0,
Finland,FIN,2022,,,5540745.0,
France,FRA,2022,,,64626624.0,
Gambia,GMB,2022,,,2705995.0,
Germany,DEU,2022,,,83369840.0,
Indonesia,IDN,2022,3.52,0.87,275501344.0,
Iraq,IRQ,2022,,,44496124.0,
Israel,ISR,2022,,,9038313.0,
Italy,ITA,2022,,,59037472.0,
Kyrgyzstan,KGZ,2022,,,6630621.0,
Laos,LAO,2022,,,7529477.0,
Latvia,LVA,2022,,,1850654.0,
Malawi,MWI,2022,,,20405318.0,
Maldives,MDV,2022,,,523798.0,
Malta,MLT,2022,,,533293.0,
Martinique,MTQ,2022,,,367512.0,
Mexico,MEX,2022,,,127504120.0,
Moldova,MDA,2022,,,3272993.0,
Mongolia,MNG,2022,,,3398373.0,
Myanmar,MMR,2022,,,54179312.0,
Netherlands,NLD,2022,,,17564020.0,
Nigeria,NGA,2022,,,218541216.0,
North America,,2022,,,600323657.0,
Norway,NOR,2022,,,5434324.0,
Oceania,,2022,,,45038860.0,
Pakistan,PAK,2022,,,235824864.0,
Palestine,PSE,2022,,,5250076.0,
Peru,PER,2022,,,34049588.0,
Reunion,REU,2022,,,974062.0,
Romania,ROU,2022,,,19659270.0,
Samoa,WSM,2022,,,222390.0,
Serbia,SRB,2022,,,7221365.0,
South America,,2022,,,436816679.0,
Spain,ESP,2022,,,47558632.0,
Sweden,SWE,2022,,,10549349.0,
Switzerland,CHE,2022,,,8740471.0,
Tanzania,TZA,2022,,,65497752.0,
Thailand,THA,2022,,,71697024.0,
Uganda,UGA,2022,,,47249588.0,
United States,USA,2022,3.46,7.59,338289856.0,
Vanuatu,VUT,2022,,,326744.0,
