Entity,Code,Year,Cereal yield (kg per hectare),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Algeria,DZA,2020,1.5204000000000002,10844.7705,43451668.0,
Angola,AGO,2020,0.9066,6032.275,33428490.0,
Asia,,2020,,,4663086623.0,
Australia,AUS,2020,1.6505,48747.85,25670052.0,
Bangladesh,BGD,2020,4.9013,5591.374,167420944.0,
Bolivia,BOL,2020,2.024,7679.933,11936169.0,
Botswana,BWA,2020,1.0336,13545.674,2546404.0,
Brunei,BRN,2020,2.9437,61603.55,441736.0,
Bulgaria,BGR,2020,4.373399999999999,22483.598,6979181.0,
Burkina Faso,BFA,2020,1.1704,2093.7336,21522632.0,
Burundi,BDI,2020,1.3143,711.3553,12220229.0,
Canada,CAN,2020,4.079400000000001,46064.254,37888704.0,
Chile,CHL,2020,6.247800000000001,23017.69,19300318.0,
China,CHN,2020,6.296399999999999,16296.779,1424929792.0,
Congo,COG,2020,0.8844,3384.6543,5702183.0,
Cote d'Ivoire,CIV,2020,2.2109,5098.56,26811792.0,
Cyprus,CYP,2020,2.3685,39471.582,1237540.0,
Democratic Republic of Congo,COD,2020,0.8577,1044.0712,92853168.0,
Eswatini,SWZ,2020,1.2755,8290.409,1180663.0,
Ethiopia,ETH,2020,2.8613000000000004,2253.2358,117190920.0,
Europe,,2020,,,747462669.0,
Georgia,GEO,2020,2.6475,13966.326,3765912.0,
High-income countries,,2020,5.9280044,47614.09,1218093003.0,
Indonesia,IDN,2020,5.2796,11515.74,271857984.0,
Iran,IRN,2020,2.1408,14432.362,87290192.0,
Iraq,IRQ,2020,2.5496,8919.798,42556988.0,
Italy,ITA,2020,5.6265,39065.28,59500576.0,
Kazakhstan,KAZ,2020,1.2883,25361.508,18979250.0,
Kenya,KEN,2020,1.8062,4498.383,51985780.0,
Kuwait,KWT,2020,10.3182,43922.63,4360451.0,
Liberia,LBR,2020,1.125,1383.8281,5087591.0,
Libya,LBY,2020,0.6724,16924.15,6653946.0,
Low-income countries,,2020,1.4422612,1970.1681,680258922.0,
Lower-middle-income countries,,2020,3.2562344,6930.9463,3369707355.0,
Madagascar,MDG,2020,2.4701999999999997,1436.2069,28225182.0,
Malawi,MWI,2020,2.0044,1489.6014,19377058.0,
Malaysia,MYS,2020,3.6499,25830.973,33199988.0,
Mauritius,MUS,2020,9.0471,20224.223,1297830.0,
Mongolia,MNG,2020,1.2186,11666.779,3294340.0,
Morocco,MAR,2020,0.7429,7545.995,36688768.0,
Mozambique,MOZ,2020,0.6721,1232.9856,31178242.0,
Myanmar,MMR,2020,3.6459,4947.0938,53423200.0,
Namibia,NAM,2020,0.3197,9048.184,2489099.0,
Nepal,NPL,2020,3.1963000000000004,3761.8027,29348626.0,
Niger,NER,2020,0.5602,1214.5465,24333644.0,
Nigeria,NGA,2020,1.42,4865.087,208327408.0,
North America,,2020,,,594263186.0,
Norway,NOR,2020,4.1963,63548.0,5379836.0,
Oceania,,2020,,,43933757.0,
Oman,OMN,2020,18.6241,33098.21,4543406.0,
Pakistan,PAK,2020,3.0208000000000004,5004.352,227196736.0,
Russia,RUS,2020,2.9056,26583.797,145617328.0,
Slovenia,SVN,2020,7.3927,37098.12,2117648.0,
South America,,2020,,,431530105.0,
Spain,ESP,2020,4.5015,35967.89,47363808.0,
Sudan,SDN,2020,0.4458999999999999,3874.8003,44440484.0,
Tanzania,TZA,2020,1.8094,2551.2063,61704520.0,
Turkmenistan,TKM,2020,1.528,,6250442.0,
Uganda,UGA,2020,2.2429,2240.4902,44404608.0,
Ukraine,UKR,2020,4.2959,12407.79,43909664.0,
United Arab Emirates,ARE,2020,26.0228,67668.29,9287286.0,
United States,USA,2020,8.175,60167.855,335942016.0,
Vanuatu,VUT,2020,0.6241,2836.8135,311694.0,
World,OWID_WRL,2020,4.0718074,16175.776,7840952832.0,
Zambia,ZMB,2020,2.4796,3183.651,18927716.0,
