Entity,Code,Year,Mean years of schooling
Belarus,BLR,1995,9.956695
Belarus,BLR,2000,10.380811
Belarus,BLR,2005,10.822991
Belarus,BLR,2010,11.285592
Belarus,BLR,2015,11.762252
Belarus,BLR,2021,12.14358
Croatia,HRV,1990,6.569557
Croatia,HRV,1995,8.088664
Croatia,HRV,2000,9.620869
Croatia,HRV,2005,10.41395
Croatia,HRV,2010,11.02225
Croatia,HRV,2015,11.655744
Croatia,HRV,2021,12.191084
Cyprus,CYP,1990,8.2983675
Cyprus,CYP,1995,9.099863
Cyprus,CYP,2000,9.910284
Cyprus,CYP,2005,10.71991
Cyprus,CYP,2010,11.44206
Cyprus,CYP,2015,11.86548
Cyprus,CYP,2021,12.44017
Dominica,DMA,2000,7.7753363
Dominica,DMA,2005,7.803301
Dominica,DMA,2010,7.8382564
Dominica,DMA,2015,7.976502
Dominica,DMA,2021,8.142186
Estonia,EST,1990,9.655533
Estonia,EST,1995,10.879328
Estonia,EST,2000,12.17572
Estonia,EST,2005,13.029645
Estonia,EST,2010,13.33069
Estonia,EST,2015,13.48861
Estonia,EST,2021,13.54843
Maldives,MDV,1990,4.04
Maldives,MDV,1995,3.51
Maldives,MDV,2000,3.05
Maldives,MDV,2005,3.07
Maldives,MDV,2010,4.38
Maldives,MDV,2015,6.65
Maldives,MDV,2021,7.322
Malta,MLT,1990,6.4654827
Malta,MLT,1995,7.0129952
Malta,MLT,2000,7.47194
Malta,MLT,2005,9.78491
Malta,MLT,2010,10.3078
Malta,MLT,2015,11.21442
Malta,MLT,2021,12.21026
New Zealand,NZL,1990,10.139521
New Zealand,NZL,1995,11.466754
New Zealand,NZL,2000,12.800659
New Zealand,NZL,2005,13.270617
New Zealand,NZL,2010,13.37765
New Zealand,NZL,2015,13.231
New Zealand,NZL,2021,12.94469
Solomon Islands,SLB,2000,4.552326
Solomon Islands,SLB,2005,4.822471
Solomon Islands,SLB,2010,5.1001654
Solomon Islands,SLB,2015,5.440732
Solomon Islands,SLB,2021,5.711848
Suriname,SUR,2005,7.8837166
Suriname,SUR,2010,8.732397
Suriname,SUR,2015,9.372595
Suriname,SUR,2021,9.7768
