Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Alcohol use disorders - Sex: Both - Age: Age-standardized (Rate)
Djibouti,DJI,1990,193.12
Djibouti,DJI,1995,195.21
Djibouti,DJI,2000,195.7
Djibouti,DJI,2005,191.79
Djibouti,DJI,2010,186.66
Djibouti,DJI,2015,182.3
Djibouti,DJI,2019,185.8
Italy,ITA,1990,168.28
Italy,ITA,1995,160.85
Italy,ITA,2000,159.5
Italy,ITA,2005,161.51
Italy,ITA,2010,162.2
Italy,ITA,2015,153.97
Italy,ITA,2019,162.03
Switzerland,CHE,1990,345.21
Switzerland,CHE,1995,355.95
Switzerland,CHE,2000,342.76
Switzerland,CHE,2005,330.08
Switzerland,CHE,2010,305.51
Switzerland,CHE,2015,295.72
Switzerland,CHE,2019,286.11
