Entity,Code,Year,"Combined corporate income tax rate (CTSD, OECD (2019))"
Canada,CAN,2000,42.43
Canada,CAN,2002,38.02
Canada,CAN,2004,34.380001
Canada,CAN,2006,33.93
Canada,CAN,2008,31.4
Canada,CAN,2010,29.4
Canada,CAN,2012,26.1
Canada,CAN,2014,26.200001
Canada,CAN,2016,26.700001
Canada,CAN,2018,26.799999
Chile,CHL,2000,15.0
Chile,CHL,2002,16.0
Chile,CHL,2004,17.0
Chile,CHL,2006,17.0
Chile,CHL,2008,17.0
Chile,CHL,2010,17.0
Chile,CHL,2012,20.0
Chile,CHL,2014,21.0
Chile,CHL,2016,24.0
Chile,CHL,2018,25.0
Germany,DEU,2000,51.612
Germany,DEU,2002,38.285999
Germany,DEU,2004,38.338001
Germany,DEU,2006,38.415001
Germany,DEU,2008,29.405001
Germany,DEU,2010,29.475
Germany,DEU,2012,29.58
Germany,DEU,2014,29.719999
Germany,DEU,2016,29.825001
Germany,DEU,2018,29.825001
Greece,GRC,2000,40.0
Greece,GRC,2002,35.0
Greece,GRC,2004,35.0
Greece,GRC,2006,29.0
Greece,GRC,2008,25.0
Greece,GRC,2010,24.0
Greece,GRC,2012,20.0
Greece,GRC,2014,26.0
Greece,GRC,2016,29.0
Greece,GRC,2018,29.0
Senegal,SEN,2000,35.0
Senegal,SEN,2002,35.0
Senegal,SEN,2004,33.0
Senegal,SEN,2006,25.0
Senegal,SEN,2008,25.0
Senegal,SEN,2010,25.0
Senegal,SEN,2012,30.0
Senegal,SEN,2014,30.0
Senegal,SEN,2016,30.0
Senegal,SEN,2018,30.0
United Arab Emirates,ARE,2000,0.0
United Arab Emirates,ARE,2002,0.0
United Arab Emirates,ARE,2004,0.0
United Arab Emirates,ARE,2006,0.0
United Arab Emirates,ARE,2008,0.0
United Arab Emirates,ARE,2010,0.0
United Arab Emirates,ARE,2012,0.0
United Arab Emirates,ARE,2014,0.0
United Arab Emirates,ARE,2016,0.0
United Arab Emirates,ARE,2018,0.0
Uruguay,URY,2000,30.0
Uruguay,URY,2002,35.0
Uruguay,URY,2004,30.0
Uruguay,URY,2006,30.0
Uruguay,URY,2008,25.0
Uruguay,URY,2010,25.0
Uruguay,URY,2012,25.0
Uruguay,URY,2014,25.0
Uruguay,URY,2016,25.0
Uruguay,URY,2018,25.0
