Entity,Code,Year,Gender wage gap (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Population (historical estimates),Continent
Argentina,ARG,2016,,67.06777,43668236.0,
Asia,,2016,,,4502955714.0,
Belgium,BEL,2016,,81.368805,11316837.0,
Belize,BLZ,2016,-20.03,62.01176,367327.0,
Brazil,BRA,2016,,70.78992,206859584.0,
Brunei,BRN,2016,,80.5684,426001.0,
Chile,CHL,2016,,67.436264,18083880.0,
Colombia,COL,2016,,71.44076,47625960.0,
Czechia,CZE,2016,20.61,75.84089,10527584.0,
El Salvador,SLV,2016,,61.03071,6250513.0,
Estonia,EST,2016,,80.33622,1315928.0,
Europe,,2016,,,744516175.0,
France,FRA,2016,,85.17331,63989320.0,
Germany,DEU,2016,,83.57866,82331432.0,
Guatemala,GTM,2016,,47.81747,16291004.0,
Honduras,HND,2016,,56.86824,9460798.0,
Hungary,HUN,2016,,74.17928,9815106.0,
Italy,ITA,2016,,68.26918,60118628.0,
Latvia,LVA,2016,,81.94014,1973477.0,
Malta,MLT,2016,,65.21981,467717.0,
Mexico,MEX,2016,,55.805702,121519224.0,
Nicaragua,NIC,2016,,58.9031,6389237.0,
North America,,2016,,,576008328.0,
North Macedonia,MKD,2016,,62.60697,2110194.0,
Pakistan,PAK,2016,10.81,29.291336,213524848.0,
Panama,PAN,2016,,64.81503,4026338.0,
Peru,PER,2016,,81.41973,31132776.0,
Poland,POL,2016,,75.00382,38532108.0,
Russia,RUS,2016,,77.84732,145109152.0,
Serbia,SRB,2016,,72.73135,7493288.0,
South America,,2016,,,417101806.0,
South Korea,KOR,2016,33.59,71.02441,51309984.0,
Spain,ESP,2016,,81.94399,46473320.0,
Sweden,SWE,2016,,90.02877,9953322.0,
Thailand,THA,2016,-21.57,78.277664,70607032.0,
Turkey,TUR,2016,,45.045647,81019400.0,
Vietnam,VNM,2016,10.71,88.33632,93126528.0,
