Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution, in both sexes aged all ages"
African Region (WHO),,1990,90998.695
African Region (WHO),,1995,106220.57
African Region (WHO),,2000,134389.53
African Region (WHO),,2005,149713.77
African Region (WHO),,2010,174710.47
African Region (WHO),,2015,225840.8
African Region (WHO),,2019,237234.95
Eastern Mediterranean Region (WHO),,1990,158827.89
Eastern Mediterranean Region (WHO),,1995,184037.98
Eastern Mediterranean Region (WHO),,2000,219373.73
Eastern Mediterranean Region (WHO),,2005,253862.14
Eastern Mediterranean Region (WHO),,2010,304441.44
Eastern Mediterranean Region (WHO),,2015,359218.0
Eastern Mediterranean Region (WHO),,2019,389412.1
European Region (WHO),,1990,604138.75
European Region (WHO),,1995,648741.0
European Region (WHO),,2000,588881.5
European Region (WHO),,2005,561224.3
European Region (WHO),,2010,540000.25
European Region (WHO),,2015,469921.28
European Region (WHO),,2019,438406.5
Region of the Americas (WHO),,1990,202761.0
Region of the Americas (WHO),,1995,213383.56
Region of the Americas (WHO),,2000,215018.12
Region of the Americas (WHO),,2005,206692.0
Region of the Americas (WHO),,2010,203804.19
Region of the Americas (WHO),,2015,207600.81
Region of the Americas (WHO),,2019,218937.94
South-East Asia Region (WHO),,1990,378885.88
South-East Asia Region (WHO),,1995,420546.06
South-East Asia Region (WHO),,2000,527777.56
South-East Asia Region (WHO),,2005,625787.5
South-East Asia Region (WHO),,2010,816763.3
South-East Asia Region (WHO),,2015,1112644.9
South-East Asia Region (WHO),,2019,1264075.6
Western Pacific Region (WHO),,1990,607558.75
Western Pacific Region (WHO),,1995,724012.8
Western Pacific Region (WHO),,2000,916407.25
Western Pacific Region (WHO),,2005,1109548.8
Western Pacific Region (WHO),,2010,1312943.2
Western Pacific Region (WHO),,2015,1487758.5
Western Pacific Region (WHO),,2019,1584920.9
