Entity,Code,Year,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber - SG_DMK_PARLMP_UC"
Belarus,BLR,2021,0.45
Belarus,BLR,2022,0.45
Belarus,BLR,2023,0.45
Chile,CHL,2021,0.49
Chile,CHL,2022,0.46
Chile,CHL,2023,0.47
Europe and Northern America (UN),,2021,0.59
Europe and Northern America (UN),,2022,0.62
Europe and Northern America (UN),,2023,0.6
Liberia,LBR,2021,0.07
Liberia,LBR,2022,0.13
Liberia,LBR,2023,0.13
