Entity,Code,Year,Carbon intensity of electricity - gCO2/kWh
Austria,AUT,2000,198.49625
Austria,AUT,2005,249.8062
Austria,AUT,2010,229.56854
Austria,AUT,2015,174.45433
Austria,AUT,2020,142.50613
Austria,AUT,2022,158.22209
China,CHN,2000,672.3665
China,CHN,2005,670.5062
China,CHN,2010,650.8452
China,CHN,2015,596.83765
China,CHN,2020,550.46814
China,CHN,2022,533.9828
France,FRA,2000,81.27811
France,FRA,2005,88.14446
France,FRA,2010,81.64099
France,FRA,2015,64.3818
France,FRA,2020,67.38739
France,FRA,2022,84.879
Italy,ITA,2000,506.18616
Italy,ITA,2005,504.3622
Italy,ITA,2010,440.1477
Italy,ITA,2015,389.32193
Italy,ITA,2020,336.71375
Italy,ITA,2022,372.6337
Netherlands,NLD,2000,563.2621
Netherlands,NLD,2005,539.2255
Netherlands,NLD,2010,515.15405
Netherlands,NLD,2015,552.94116
Netherlands,NLD,2020,395.09692
Netherlands,NLD,2022,354.3093
Poland,POL,2000,801.85785
Poland,POL,2005,788.00385
Poland,POL,2010,759.2356
Poland,POL,2015,705.4311
Poland,POL,2020,647.3209
Poland,POL,2022,633.22766
South Africa,ZAF,2000,759.7598
South Africa,ZAF,2005,771.0496
South Africa,ZAF,2010,768.0563
South Africa,ZAF,2015,759.7328
South Africa,ZAF,2020,731.5732
South Africa,ZAF,2022,708.20654
Sweden,SWE,2000,47.992844
Sweden,SWE,2005,48.181362
Sweden,SWE,2010,71.47187
Sweden,SWE,2015,45.123455
Sweden,SWE,2020,42.373917
Sweden,SWE,2022,45.119328
World,OWID_WRL,2000,467.65405
World,OWID_WRL,2005,480.9008
World,OWID_WRL,2010,481.5025
World,OWID_WRL,2015,473.5686
World,OWID_WRL,2020,438.37173
World,OWID_WRL,2022,437.65845
