Entity,Code,Year,Deaths - Cause: Tuberculosis - Sex: Both sexes - Age group: ALLAges
Brazil,BRA,2000,7934.37
Brazil,BRA,2005,6342.22
Brazil,BRA,2010,5740.4
Brazil,BRA,2015,5363.65
Brazil,BRA,2019,4895.22
China,CHN,2000,109125.9
China,CHN,2005,82165.85
China,CHN,2010,51223.5
China,CHN,2015,39972.88
China,CHN,2019,34802.11
India,IND,2000,614766.4
India,IND,2005,562258.3
India,IND,2010,493948.8
India,IND,2015,449042.4
India,IND,2019,435881.7
Nigeria,NGA,2000,80030.05
Nigeria,NGA,2005,84273.12
Nigeria,NGA,2010,87096.04
Nigeria,NGA,2015,112563.1
Nigeria,NGA,2019,127335.4
South Africa,ZAF,2000,25652.4
South Africa,ZAF,2005,33746.52
South Africa,ZAF,2010,25482.18
South Africa,ZAF,2015,19909.52
South Africa,ZAF,2019,21965.43
