Entity,Code,Year,Low-carbon electricity - TWh
Canada,CAN,1990,372.09924
Canada,CAN,2000,432.77
Canada,CAN,2010,451.49
Canada,CAN,2022,527.35
China,CHN,1980,58.221176
China,CHN,1990,126.812
China,CHN,2000,242.3
China,CHN,2010,861.12
China,CHN,2022,3087.98
France,FRA,1990,369.86
France,FRA,2000,482.99
France,FRA,2010,505.2
France,FRA,2022,413.39
India,IND,1980,57.88972
India,IND,1990,72.85983
India,IND,2000,96.04
India,IND,2010,165.69
India,IND,2022,427.06
Spain,ESP,1965,19.687
Spain,ESP,1970,28.742
Spain,ESP,1980,35.098
Spain,ESP,1990,80.3
Spain,ESP,2000,96.7
Spain,ESP,2010,159.76
Spain,ESP,2022,178.87
Sweden,SWE,1965,46.441
Sweden,SWE,1970,41.675
Sweden,SWE,1980,86.077
Sweden,SWE,1990,142.63
Sweden,SWE,2000,140.46
Sweden,SWE,2010,139.92
Sweden,SWE,2022,169.16
United States,USA,1990,960.15063
United States,USA,2000,1104.82
United States,USA,2010,1231.45
United States,USA,2022,1729.69
