Entity,Code,Year,Nuclear per capita (kWh - equivalent)
Australia,AUS,1965,0.0
Australia,AUS,1970,0.0
Australia,AUS,1980,0.0
Australia,AUS,1990,0.0
Australia,AUS,2000,0.0
Australia,AUS,2010,0.0
Australia,AUS,2022,0.0
Brazil,BRA,1965,0.0
Brazil,BRA,1970,0.0
Brazil,BRA,1980,0.0
Brazil,BRA,1990,42.118443
Brazil,BRA,2000,97.545074
Brazil,BRA,2010,196.99913
Brazil,BRA,2022,169.1658
Ecuador,ECU,1965,0.0
Ecuador,ECU,1970,0.0
Ecuador,ECU,1980,0.0
Ecuador,ECU,1990,0.0
Ecuador,ECU,2000,0.0
Ecuador,ECU,2010,0.0
Ecuador,ECU,2022,0.0
Ireland,IRL,1965,0.0
Ireland,IRL,1970,0.0
Ireland,IRL,1980,0.0
Ireland,IRL,1990,0.0
Ireland,IRL,2000,0.0
Ireland,IRL,2010,0.0
Ireland,IRL,2022,0.0
North America,,1965,38.798218
North America,,1970,215.61952
North America,,1980,2327.7842
North America,,1990,4594.537
North America,,2000,5099.535
North America,,2010,4636.511
North America,,2022,3790.8274
Portugal,PRT,1965,0.0
Portugal,PRT,1970,0.0
Portugal,PRT,1980,0.0
Portugal,PRT,1990,0.0
Portugal,PRT,2000,0.0
Portugal,PRT,2010,0.0
Portugal,PRT,2022,0.0
Romania,ROU,1965,0.0
Romania,ROU,1970,0.0
Romania,ROU,1980,0.0
Romania,ROU,1990,0.0
Romania,ROU,2000,706.27576
Romania,ROU,2010,1522.3395
Romania,ROU,2022,1411.162
