Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages","Homicide rate per 100,000 population - Both Sexes - All ages",Continent
Argentina,ARG,2021,4.6226788,,
Armenia,ARM,2021,2.1856172,,
Australia,AUS,2021,0.74456745,,
Austria,AUT,2021,0.7285295,,
Belize,BLZ,2021,31.247578,,
Bulgaria,BGR,2021,1.2779799,,
Canada,CAN,2021,2.0652595,,
Chile,CHL,2021,3.6320386,,
Costa Rica,CRI,2021,11.40871,,
Czechia,CZE,2021,0.44716123,,
Denmark,DNK,2021,0.80283684,,
Ecuador,ECU,2021,14.024255,,
El Salvador,SLV,2021,18.165499,,
Estonia,EST,2021,1.9567984,,
Grenada,GRD,2021,4.012519,,
Guatemala,GTM,2021,19.990364,,
Hong Kong,HKG,2021,0.30688852,,
Iceland,ISL,2021,0.5400516,,
Israel,ISR,2021,1.9438074,,
Japan,JPN,2021,0.22870894,,
Mexico,MEX,2021,28.175653,,
Mongolia,MNG,2021,6.153327,,
Montenegro,MNE,2021,2.3890734,,
Norway,NOR,2021,0.5367368,,
Paraguay,PRY,2021,7.8313804,,
Saint Vincent and the Grenadines,VCT,2021,30.671318,,
Seychelles,SYC,2021,4.6961365,,
Singapore,SGP,2021,0.10099207,,
