Entity,Code,Year,Solar (TWh growth - equivalent)
Australia,AUS,2000,0.018185273
Australia,AUS,2010,1.9029773
Australia,AUS,2022,19.639542
China,CHN,1980,0.0
China,CHN,1990,0.005913972
China,CHN,2000,0.014785003
China,CHN,2010,1.1665142
China,CHN,2022,259.45984
India,IND,1980,0.0
India,IND,1990,0.0
India,IND,2000,0.0029868614
India,IND,2010,0.10418694
India,IND,2022,69.3557
Spain,ESP,1966,0.0
Spain,ESP,1970,0.0
Spain,ESP,1980,0.0
Spain,ESP,1990,-0.00017919578
Spain,ESP,2000,0.0029569454
Spain,ESP,2010,2.6646786
Spain,ESP,2022,17.106102
United States,USA,1990,0.3479272
United States,USA,2000,0.0005043745
United States,USA,2010,2.5653605
United States,USA,2022,102.93228
