Entity,Code,Year,Share of the daily caloric intake that comes from animal protein
Brazil,BRA,1961,3.2213671
Brazil,BRA,1970,3.3380458
Brazil,BRA,1980,3.811712
Brazil,BRA,1990,4.331004
Brazil,BRA,2000,5.7319446
Brazil,BRA,2010,5.973563
Brazil,BRA,2020,6.673048
China,CHN,1961,0.9045936
China,CHN,1970,1.1021739
China,CHN,1980,1.2879776
China,CHN,1990,2.103834
China,CHN,2000,3.871795
China,CHN,2010,4.7587094
China,CHN,2020,4.9772725
Germany,DEU,1961,6.259895
Germany,DEU,1970,6.6404386
Germany,DEU,1980,7.2385597
Germany,DEU,1990,7.3756523
Germany,DEU,2000,6.772183
Germany,DEU,2010,7.05137
Germany,DEU,2020,7.411246
Italy,ITA,1961,3.9256253
Italy,ITA,1970,4.876697
Italy,ITA,1980,5.9805717
Italy,ITA,1990,6.7220516
Italy,ITA,2000,6.703381
Italy,ITA,2010,6.8467765
Italy,ITA,2020,6.45748
Spain,ESP,1961,3.9473488
Spain,ESP,1970,5.928963
Spain,ESP,1980,7.053915
Spain,ESP,1990,7.613497
Spain,ESP,2000,8.541667
Spain,ESP,2010,8.443185
Spain,ESP,2020,8.463923
United States,USA,1961,8.748611
United States,USA,1970,8.822714
United States,USA,1980,8.349905
United States,USA,1990,7.929001
United States,USA,2000,7.7475367
United States,USA,2010,7.768767
United States,USA,2020,7.7646465
World,OWID_WRL,1961,3.5810566
World,OWID_WRL,1970,3.6467142
World,OWID_WRL,1980,3.7718875
World,OWID_WRL,1990,3.850439
World,OWID_WRL,2000,4.0894756
World,OWID_WRL,2010,4.3512945
World,OWID_WRL,2020,4.527163
