Entity,Code,Year,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: one-sided violence,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: non-state conflict,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: intrastate,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: interstate
Andorra,AND,1989,0.0,0.0,0.0,0.0
Andorra,AND,1992,0.0,0.0,0.0,0.0
Andorra,AND,1995,0.0,0.0,0.0,0.0
Andorra,AND,1998,0.0,0.0,0.0,0.0
Andorra,AND,2001,0.0,0.0,0.0,0.0
Andorra,AND,2004,0.0,0.0,0.0,0.0
Andorra,AND,2007,0.0,0.0,0.0,0.0
Andorra,AND,2010,0.0,0.0,0.0,0.0
Andorra,AND,2013,0.0,0.0,0.0,0.0
Andorra,AND,2016,0.0,0.0,0.0,0.0
Andorra,AND,2019,0.0,0.0,0.0,0.0
Andorra,AND,2022,0.0,0.0,0.0,0.0
Costa Rica,CRI,1989,0.0,0.0,0.0,0.0
Costa Rica,CRI,1992,0.0,0.0,0.0,0.0
Costa Rica,CRI,1995,0.0,0.0,0.0,0.0
Costa Rica,CRI,1998,0.0,0.0,0.0,0.0
Costa Rica,CRI,2001,0.0,0.0,0.0,0.0
Costa Rica,CRI,2004,0.0,0.0,0.0,0.0
Costa Rica,CRI,2007,0.0,0.0,0.0,0.0
Costa Rica,CRI,2010,0.0,0.0,0.0,0.0
Costa Rica,CRI,2013,0.0,0.0,0.0,0.0
Costa Rica,CRI,2016,0.0,0.0,0.0,0.0
Costa Rica,CRI,2019,0.0,0.0,0.0,0.0
Costa Rica,CRI,2022,0.0,0.0,0.0,0.0
Denmark,DNK,1989,0.0,0.0,0.0,0.0
Denmark,DNK,1992,0.0,0.0,0.0,0.0
Denmark,DNK,1995,0.0,0.0,0.0,0.0
Denmark,DNK,1998,0.0,0.0,0.0,0.0
Denmark,DNK,2001,0.0,0.0,0.0,0.0
Denmark,DNK,2004,0.0,0.0,0.0,0.0
Denmark,DNK,2007,0.0,0.0,0.0,0.0
Denmark,DNK,2010,0.0,0.0,0.0,0.0
Denmark,DNK,2013,0.0,0.0,0.0,0.0
Denmark,DNK,2016,0.0,0.0,0.0,0.0
Denmark,DNK,2019,0.0,0.0,0.0,0.0
Denmark,DNK,2022,0.0,0.0,0.0,0.0
Madagascar,MDG,1989,0.0,0.0,0.0,0.0
Madagascar,MDG,1992,0.0,0.0,0.0,0.0
Madagascar,MDG,1995,0.0,0.0,0.0,0.0
Madagascar,MDG,1998,0.0,0.0,0.0,0.0
Madagascar,MDG,2001,0.0,0.0,0.0,0.0
Madagascar,MDG,2004,0.0,0.0,0.0,0.0
Madagascar,MDG,2007,0.0,0.0,0.0,0.0
Madagascar,MDG,2010,0.0,0.0,0.0,0.0
Madagascar,MDG,2013,0.0,0.0,0.0,0.0
Madagascar,MDG,2016,0.0,0.0,0.0,0.0
Madagascar,MDG,2019,0.0,0.0,0.0,0.0
Madagascar,MDG,2022,0.0,0.0,0.0,0.0
Singapore,SGP,1989,0.0,0.0,0.0,0.0
Singapore,SGP,1992,0.0,0.0,0.0,0.0
Singapore,SGP,1995,0.0,0.0,0.0,0.0
Singapore,SGP,1998,0.0,0.0,0.0,0.0
Singapore,SGP,2001,0.0,0.0,0.0,0.0
Singapore,SGP,2004,0.0,0.0,0.0,0.0
Singapore,SGP,2007,0.0,0.0,0.0,0.0
Singapore,SGP,2010,0.0,0.0,0.0,0.0
Singapore,SGP,2013,0.0,0.0,0.0,0.0
Singapore,SGP,2016,0.0,0.0,0.0,0.0
Singapore,SGP,2019,0.0,0.0,0.0,0.0
Singapore,SGP,2022,0.0,0.0,0.0,0.0
Uganda,UGA,1989,0.15268478,0.0,6.001686,0.0
Uganda,UGA,1992,0.0,0.0,0.38293862,0.0
Uganda,UGA,1995,1.3152274,0.0,1.2523673,0.0
Uganda,UGA,1998,1.3399795,0.59456044,3.3277638,0.0
Uganda,UGA,2001,0.2342173,0.12922335,0.43612877,0.0
Uganda,UGA,2004,2.8622916,0.069991685,4.508938,0.0
Uganda,UGA,2007,0.14512415,0.11474933,0.30712318,0.0
Uganda,UGA,2010,0.2288066,0.0,0.0030919812,0.0
Uganda,UGA,2013,0.04819473,0.0,0.031184824,0.0
Uganda,UGA,2016,0.0,0.07742274,0.04645364,0.0
Uganda,UGA,2019,0.0,0.0,0.006985016,0.0
Uganda,UGA,2022,0.11640313,0.0,0.19471069,0.0
