Entity,Code,Year,Annual CO₂ emissions from oil (per capita)
Brazil,BRA,1950,0.23312813
Brazil,BRA,2000,1.3617054
Brazil,BRA,2022,1.4860389
Canada,CAN,1800,0.0
Canada,CAN,1850,0.0
Canada,CAN,1900,0.06971359
Canada,CAN,1950,3.8163054
Canada,CAN,2000,7.730486
Canada,CAN,2022,6.3731217
China,CHN,1950,0.0011383082
China,CHN,2000,0.5131604
China,CHN,2022,1.0178132
European Union (27),,1800,0.0
European Union (27),,1850,0.0
European Union (27),,1900,0.031249112
European Union (27),,1950,0.35995182
European Union (27),,2000,3.5542397
European Union (27),,2022,2.7651572
India,IND,1900,0.004542243
India,IND,1950,0.020135414
India,IND,2000,0.2952409
India,IND,2022,0.4827433
Mexico,MEX,1900,0.0
Mexico,MEX,1950,0.85798234
Mexico,MEX,2000,2.696073
Mexico,MEX,2022,2.0147746
Russia,RUS,1850,0.0
Russia,RUS,1900,0.26037735
Russia,RUS,1950,0.7220519
Russia,RUS,2000,2.1622558
Russia,RUS,2022,2.6665318
United Kingdom,GBR,1750,0.0
United Kingdom,GBR,1800,0.0
United Kingdom,GBR,1850,0.0
United Kingdom,GBR,1900,0.074368596
United Kingdom,GBR,1950,0.8384318
United Kingdom,GBR,2000,3.3685272
United Kingdom,GBR,2022,2.2590675
United States,USA,1800,0.0
United States,USA,1850,0.0
United States,USA,1900,0.32943237
United States,USA,1950,6.0479584
United States,USA,2000,8.809524
United States,USA,2022,6.6496797
