Entity,Code,Year,"Deaths that are from all causes per 100,000 people, in both sexes aged <1 year"
Antigua and Barbuda,ATG,1990,1.1688218
Antigua and Barbuda,ATG,1995,1.2502439
Antigua and Barbuda,ATG,2000,1.1821234
Antigua and Barbuda,ATG,2005,1.0632118000000002
Antigua and Barbuda,ATG,2010,0.9043997
Antigua and Barbuda,ATG,2015,0.8278958000000001
Antigua and Barbuda,ATG,2019,0.7719089
Fiji,FJI,1990,1.9951207
Fiji,FJI,1995,1.9310868
Fiji,FJI,2000,1.9767024
Fiji,FJI,2005,2.0027158
Fiji,FJI,2010,1.8488954
Fiji,FJI,2015,1.7171483
Fiji,FJI,2019,1.6326729
Libya,LBY,1990,3.685727
Libya,LBY,1995,2.6774548
Libya,LBY,2000,1.961073
Libya,LBY,2005,1.4478397
Libya,LBY,2010,1.1019065
Libya,LBY,2015,0.9275355
Libya,LBY,2019,0.8242271
