Entity,Code,Year,Share of children who are stunted
Bangladesh,BGD,1986,70.9
Bangladesh,BGD,1990,63.4
Bangladesh,BGD,1995,65.8
Bangladesh,BGD,2000,51.1
Bangladesh,BGD,2005,45.9
China,CHN,1990,32.3
China,CHN,1995,31.2
China,CHN,2000,17.8
China,CHN,2005,11.7
China,CHN,2010,9.4
Colombia,COL,1986,26.6
Colombia,COL,1995,19.6
Colombia,COL,2000,18.2
Colombia,COL,2005,16.0
Colombia,COL,2010,12.6
Kenya,KEN,2000,40.8
Kenya,KEN,2005,40.3
Peru,PER,2000,31.3
Peru,PER,2005,29.2
Peru,PER,2010,20.8
Peru,PER,2015,14.7
Peru,PER,2020,11.4
United States,USA,2000,3.2
United States,USA,2010,2.8
