Entity,Code,Year,"Mean Non-HDL cholesterol, age-standardized - Sex: both sexes",Statin use,Population,Continent
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,,108.9,42705372.0,
Asia,,2019,,,4627738749.0,
Austria,AUT,2019,,223.5,8879939.0,
Belarus,BLR,2019,,55.0,9673971.0,
Belgium,BEL,2019,,271.5,11510569.0,
Brazil,BRA,2019,,107.0,211782880.0,
Bulgaria,BGR,2019,,94.0,7052536.0,
Canada,CAN,2019,,322.9,37522584.0,
China,CHN,2019,,16.2,1421864064.0,
Colombia,COL,2019,,14.3,50187404.0,
Egypt,EGY,2019,,51.4,105618672.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,,145.8,64399760.0,
Germany,DEU,2019,,180.6,83148144.0,
India,IND,2019,,13.7,1383112064.0,
Indonesia,IDN,2019,,10.9,269582880.0,
Ireland,IRL,2019,,280.3,4896021.0,
Italy,ITA,2019,,144.7,59727936.0,
Japan,JPN,2019,,53.2,125791680.0,
Latvia,LVA,2019,,193.1,1916552.0,
Lebanon,LBN,2019,,201.9,5781912.0,
Lithuania,LTU,2019,,113.8,2849083.0,
Malaysia,MYS,2019,,65.9,32804024.0,
Mexico,MEX,2019,,28.4,125085312.0,
Morocco,MAR,2019,,15.5,36304408.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,,304.7,5348285.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,,20.4,223293280.0,
Peru,PER,2019,,5.9,32824864.0,
Philippines,PHL,2019,,23.2,110380800.0,
Poland,POL,2019,,241.2,38493600.0,
Portugal,PRT,2019,,205.4,10289921.0,
Romania,ROU,2019,,141.6,19524212.0,
Russia,RUS,2019,,58.6,145742288.0,
Serbia,SRB,2019,,85.1,7401056.0,
Singapore,SGP,2019,,96.6,5866408.0,
Slovakia,SVK,2019,,175.5,5453932.0,
Slovenia,SVN,2019,,250.8,2112905.0,
South Africa,ZAF,2019,,83.9,58087060.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,,188.6,47131372.0,
Sweden,SWE,2019,,265.0,10267922.0,
Switzerland,CHE,2019,,202.8,8575593.0,
Thailand,THA,2019,,102.6,71307768.0,
Tunisia,TUN,2019,,76.5,12049319.0,
Turkey,TUR,2019,,65.0,83481688.0,
United Arab Emirates,ARE,2019,,92.7,9211660.0,
United States,USA,2019,,271.6,334319680.0,
Uruguay,URY,2019,,116.1,3428412.0,
Vietnam,VNM,2019,,23.3,95776712.0,
