Entity,Code,Year,Coal production per capita
China,CHN,1950,0.449984302
China,CHN,2016,14.22015541
India,IND,1950,0.5549596471
India,IND,2016,2.5340873160000004
United Kingdom,GBR,1700,2.261198257
United Kingdom,GBR,1750,4.951230893
United Kingdom,GBR,1800,6.603952507
United Kingdom,GBR,1950,35.29695752000001
United Kingdom,GBR,2016,0.4635440365
United States,USA,1900,23.94778056
United States,USA,1950,24.100676210000003
United States,USA,2016,13.13061593
World,OWID_WRL,1800,0.09822237019
World,OWID_WRL,1850,0.4509804262999999
World,OWID_WRL,1900,3.471383248
World,OWID_WRL,1950,4.9909079830000005
World,OWID_WRL,2016,5.713929435
