Entity,Code,Year,GDP (Fouquin and Hugot (CEPII 2016))
Brazil,BRA,1880,57626176.0
Brazil,BRA,1900,117490992.0
Brazil,BRA,1920,602089152.0
Brazil,BRA,1940,759011648.0
Brazil,BRA,1960,5416277504.0
Brazil,BRA,1980,101129904128.0
Brazil,BRA,2000,433188143104.0
Brazil,BRA,2014,1468911452160.0
China,CHN,1840,1434435712.0
China,CHN,1860,1384306816.0
China,CHN,1880,1041269568.0
China,CHN,1900,975581632.0
China,CHN,1960,21137192960.0
China,CHN,1980,81605443584.0
China,CHN,2000,796594143232.0
China,CHN,2014,6290680578048.0
France,FRA,1827,410018720.0
France,FRA,1840,532714976.0
France,FRA,1860,823223232.0
France,FRA,1880,1004925952.0
France,FRA,1900,1303054336.0
France,FRA,1920,3369147904.0
France,FRA,1940,2018080384.0
France,FRA,1960,22375536640.0
France,FRA,1980,302723399680.0
France,FRA,2000,904443330560.0
France,FRA,2014,1719384801280.0
Germany,DEU,1880,859466496.0
Germany,DEU,1900,1713665920.0
Germany,DEU,1920,4122206720.0
Germany,DEU,1940,12512774144.0
Germany,DEU,2000,1288784969728.0
Germany,DEU,2014,2350876459008.0
India,IND,1960,13456889856.0
India,IND,1980,81581400064.0
India,IND,2000,315005763584.0
India,IND,2014,1241251184640.0
Japan,JPN,1880,136837280.0
Japan,JPN,1900,230524576.0
Japan,JPN,1920,2054138880.0
Japan,JPN,1940,2408968448.0
Japan,JPN,1960,15824057344.0
Japan,JPN,1980,467725516800.0
Japan,JPN,2000,3126995714048.0
Japan,JPN,2014,2793222176768.0
Mexico,MEX,1900,132679856.0
Mexico,MEX,1920,621751104.0
Mexico,MEX,1940,399446208.0
Mexico,MEX,1960,4662918144.0
Mexico,MEX,1980,83630768128.0
Mexico,MEX,2000,451844112384.0
Mexico,MEX,2014,788739653632.0
Russia,RUS,1900,1168158592.0
Russia,RUS,1920,1005014720.0
Russia,RUS,1940,14371211264.0
Russia,RUS,1960,71036461056.0
Russia,RUS,1980,404477313024.0
Russia,RUS,2000,171649400832.0
Russia,RUS,2014,1234282872832.0
United Kingdom,GBR,1827,388485408.0
United Kingdom,GBR,1840,496302944.0
United Kingdom,GBR,1860,705903424.0
United Kingdom,GBR,1880,1218000000.0
United Kingdom,GBR,1900,1884999936.0
United Kingdom,GBR,1920,5975000064.0
United Kingdom,GBR,1940,7183000064.0
United Kingdom,GBR,1960,25831456768.0
United Kingdom,GBR,1980,243094175744.0
United Kingdom,GBR,2000,1027616145408.0
United Kingdom,GBR,2014,1817235030016.0
United States,USA,1827,185581600.0
United States,USA,1840,314800000.0
United States,USA,1860,904599360.0
United States,USA,1880,2159356928.0
United States,USA,1900,4269489408.0
United States,USA,1920,24355231744.0
United States,USA,1940,26867189760.0
United States,USA,1960,194035793920.0
United States,USA,1980,1231721594880.0
United States,USA,2000,6797529710592.0
United States,USA,2014,10542943043584.0
Venezuela,VEN,1960,2763760896.0
Venezuela,VEN,1980,28887906304.0
Venezuela,VEN,2000,77426491392.0
