Entity,Code,Year,MCV2 (% of one-year-olds immunized)
Belize,BLZ,2005,87
Belize,BLZ,2010,91
Belize,BLZ,2015,95
Belize,BLZ,2021,77
Djibouti,DJI,2015,82
Djibouti,DJI,2021,48
Panama,PAN,2000,88
Panama,PAN,2005,89
Panama,PAN,2010,73
Panama,PAN,2015,92
Panama,PAN,2021,97
Romania,ROU,2000,96
Romania,ROU,2005,96
Romania,ROU,2010,93
Romania,ROU,2015,80
Romania,ROU,2021,75
Slovakia,SVK,2000,99
Slovakia,SVK,2005,98
Slovakia,SVK,2010,99
Slovakia,SVK,2015,98
Slovakia,SVK,2021,96
Thailand,THA,2000,99
Thailand,THA,2005,95
Thailand,THA,2010,91
Thailand,THA,2015,95
Thailand,THA,2021,87
