Entity,Code,Year,Deforestation as share of forest area
Brazil,BRA,1990,0.7225020292138877
Brazil,BRA,2000,0.9307577765172425
Brazil,BRA,2010,0.3651036874534164
Brazil,BRA,2015,0.3365253327744754
Congo,COG,1990,0.053775487340354
Congo,COG,2000,0.0540662311331381
Congo,COG,2010,0.0543601359003397
Congo,COG,2015,0.0626845332727685
Indonesia,IDN,1990,2.1308363912438315
Indonesia,IDN,2000,0.9567535545023697
Indonesia,IDN,2015,0.6840096434836507
Uganda,UGA,1990,1.4289030533048803
Uganda,UGA,2000,1.6152642311765917
Uganda,UGA,2010,1.8575344856421927
Uganda,UGA,2015,2.0081284195962517
Venezuela,VEN,1990,0.5840349056241111
Venezuela,VEN,2000,0.3743362291713292
Venezuela,VEN,2010,0.3836859277970739
Venezuela,VEN,2015,0.2319688109161793
