Entity,Code,Year,Deaths - Self-harm - Sex: Both - Age: All Ages (Percent)
Germany,DEU,1990,1.65
Germany,DEU,1995,1.69
Germany,DEU,2000,1.54
Germany,DEU,2005,1.4
Germany,DEU,2010,1.34
Germany,DEU,2015,1.27
Germany,DEU,2019,1.22
Greece,GRC,1990,0.48
Greece,GRC,1995,0.43
Greece,GRC,2000,0.42
Greece,GRC,2005,0.43
Greece,GRC,2010,0.45
Greece,GRC,2015,0.45
Greece,GRC,2019,0.39
Japan,JPN,1990,2.99
Japan,JPN,1995,2.79
Japan,JPN,2000,3.26
Japan,JPN,2005,3.11
Japan,JPN,2010,2.63
Japan,JPN,2015,2.05
Japan,JPN,2019,1.77
Peru,PER,1990,0.47
Peru,PER,1995,0.62
Peru,PER,2000,0.73
Peru,PER,2005,0.73
Peru,PER,2010,0.73
Peru,PER,2015,0.66
Peru,PER,2019,0.67
South Korea,KOR,1990,2.12
South Korea,KOR,1995,2.71
South Korea,KOR,2000,3.84
South Korea,KOR,2005,5.33
South Korea,KOR,2010,6.37
South Korea,KOR,2015,5.33
South Korea,KOR,2019,4.57
United Kingdom,GBR,1990,0.98
United Kingdom,GBR,1995,0.97
United Kingdom,GBR,2000,0.97
United Kingdom,GBR,2005,0.93
United Kingdom,GBR,2010,0.98
United Kingdom,GBR,2015,0.94
United Kingdom,GBR,2019,0.9
United States,USA,1990,1.59
United States,USA,1995,1.53
United States,USA,2000,1.44
United States,USA,2005,1.54
United States,USA,2010,1.69
United States,USA,2015,1.71
United States,USA,2019,1.54
