Entity,Code,Year,Tax Revenue (Piketty (2014))
France,FRA,1880,8.0
France,FRA,1900,8.7
France,FRA,1920,9.3
France,FRA,1940,17.5
France,FRA,1960,32.9
France,FRA,1980,44.7
France,FRA,2000,49.6
France,FRA,2008,49.3
Sweden,SWE,1880,7.0
Sweden,SWE,1900,8.2
Sweden,SWE,1960,30.03
Sweden,SWE,1980,46.38
Sweden,SWE,2000,51.79
United Kingdom,GBR,1868,7.4
United Kingdom,GBR,1880,7.5
United Kingdom,GBR,1900,7.9
United Kingdom,GBR,1920,20.1
United Kingdom,GBR,1940,17.6
United Kingdom,GBR,1960,29.95
United Kingdom,GBR,1980,34.8
United Kingdom,GBR,2000,36.39
United States,USA,1920,9.31
United States,USA,1940,15.37
United States,USA,1960,26.53
United States,USA,1980,27.69
United States,USA,2000,29.4
United States,USA,2008,27.51
