Entity,Code,Year,17.5.1 - Number of countries with a signed bilateral investment treaty (BIT) with least developed countries and developing countries (Number) - SG_CPA_SIGN_BIT
Developing regions,,1959,2
Developing regions,,1970,48
Developing regions,,1980,68
Developing regions,,1990,112
Developing regions,,2000,173
Developing regions,,2010,179
Developing regions,,2021,183
Least Developed Countries (LDCs),,1959,0
Least Developed Countries (LDCs),,1970,24
Least Developed Countries (LDCs),,1980,34
Least Developed Countries (LDCs),,1990,46
Least Developed Countries (LDCs),,2000,94
Least Developed Countries (LDCs),,2010,113
Least Developed Countries (LDCs),,2021,120
