Entity,Code,Year,Affordability of cigarettes: percentage of GDP per capita required to purchase 2000 cigarettes of the most sold brand
Albania,ALB,2012,3.7
Albania,ALB,2014,4.14
Albania,ALB,2016,4.49
Albania,ALB,2018,4.23
Albania,ALB,2020,4.38
Albania,ALB,2022,3.76
Ecuador,ECU,2012,4.59
Ecuador,ECU,2014,4.88
Ecuador,ECU,2016,8.6
Ecuador,ECU,2018,8.55
Ecuador,ECU,2020,10.05
Ecuador,ECU,2022,9.36
Lithuania,LTU,2012,2.2
Lithuania,LTU,2014,2.18
Lithuania,LTU,2016,2.29
Lithuania,LTU,2018,2.31
Lithuania,LTU,2020,2.34
Lithuania,LTU,2022,1.94
