Entity,Code,Year,"Meat, pig | 00001035 || Production | 005510 || tonnes"
Australia,AUS,1961,110000.0
Australia,AUS,1970,174761.0
Australia,AUS,1980,219565.0
Australia,AUS,1990,317117.0
Australia,AUS,2000,364400.0
Australia,AUS,2010,338734.0
Australia,AUS,2021,432246.0
Hong Kong,HKG,1961,52000.0
Hong Kong,HKG,1970,112000.0
Hong Kong,HKG,1980,178730.0
Hong Kong,HKG,1990,187760.0
Hong Kong,HKG,2000,161000.0
Hong Kong,HKG,2010,129000.01
Hong Kong,HKG,2021,117808.01
Latvia,LVA,2000,31541.0
Latvia,LVA,2010,37175.0
Latvia,LVA,2021,37850.0
South Africa,ZAF,1961,57110.0
South Africa,ZAF,1970,80924.0
South Africa,ZAF,1980,88800.0
South Africa,ZAF,1990,130800.0
South Africa,ZAF,2000,112400.0
South Africa,ZAF,2010,202200.0
South Africa,ZAF,2021,320450.0
Taiwan,TWN,1961,182700.0
Taiwan,TWN,1970,387939.0
Taiwan,TWN,1980,597875.0
Taiwan,TWN,1990,1008729.0
Taiwan,TWN,2000,920603.0
Taiwan,TWN,2010,845464.0
Taiwan,TWN,2021,824963.0
Uganda,UGA,1961,720.0
Uganda,UGA,1970,2855.0
Uganda,UGA,1980,8400.0
Uganda,UGA,1990,57600.0
Uganda,UGA,2000,77400.0
Uganda,UGA,2010,113100.0
Uganda,UGA,2021,127602.37
Uzbekistan,UZB,2000,14500.0
Uzbekistan,UZB,2010,21000.0
Uzbekistan,UZB,2021,3025.23
