Entity,Code,Year,Share of the population using improved water sources,"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2021,81.34359,1516.3057,
Albania,ALB,2021,96.960365,14518.906,
Algeria,DZA,2021,99.58472,11039.806,
Angola,AGO,2021,66.73927,5908.57,
Antigua and Barbuda,ATG,2021,98.36496,19124.43,
Australia,AUS,2021,99.96977,49774.34,
Bangladesh,BGD,2021,99.21233,5911.013,
Benin,BEN,2021,75.1382,3321.5522,
Bermuda,BMU,2021,99.90314,80271.13,
Burundi,BDI,2021,81.715996,705.0304,
Cambodia,KHM,2021,87.789696,4354.5654,
Cameroon,CMR,2021,83.001114,3700.4644,
Central African Republic,CAF,2021,62.75777,837.5047,
Cote d'Ivoire,CIV,2021,81.02271,5325.0303,
Democratic Republic of Congo,COD,2021,58.37681,1073.6433,
Eswatini,SWZ,2021,82.22352,8856.829,
Ethiopia,ETH,2021,77.20404,2319.0684,
Gambia,GMB,2021,91.23288,2076.5664,
Guinea,GIN,2021,82.739075,2640.3442,
Iraq,IRQ,2021,99.25787,8962.395,
Italy,ITA,2021,99.91703,41929.43,
Kenya,KEN,2021,70.80601,4743.4863,
Laos,LAO,2021,88.870926,7846.975,
Malawi,MWI,2021,91.63559,1491.1339,
Mali,MLI,2021,86.87903,2120.6233,
Moldova,MDA,2021,93.1175,14009.226,
Mozambique,MOZ,2021,71.00055,1226.767,
Namibia,NAM,2021,92.89575,9137.797,
Nepal,NPL,2021,95.422646,3831.9485,
Niger,NER,2021,67.30989,1186.5768,
Papua New Guinea,PNG,2021,51.52277,3677.4602,
Poland,POL,2021,90.36157,34915.523,
Somalia,SOM,2021,86.52873,1136.736,
Vanuatu,VUT,2021,91.47049,2783.0195,
