Entity,Code,Year,Anxiety disorders (share of population) - Sex: Male - Age: All ages,Anxiety disorders (share of population) - Sex: Female - Age: Age-standardized,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Belgium,BEL,2019,4.2502494,6.0152836,11510569.0,
Belize,BLZ,2019,3.0960329,5.2448,389103.0,
Botswana,BWA,2019,3.041947,4.050668,2499705.0,
Brazil,BRA,2019,5.4076004,9.638657,211782880.0,
Chile,CHL,2019,2.9697776,8.002295,19039484.0,
Colombia,COL,2019,3.864172,5.62448,50187404.0,
Cuba,CUB,2019,3.5010855,5.34773,11316699.0,
Cyprus,CYP,2019,4.8534346,8.306115,1228840.0,
Egypt,EGY,2019,3.4958541,5.792835,105618672.0,
Ethiopia,ETH,2019,2.3681285,4.2405276,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,4.098528,8.551849,64399760.0,
Germany,DEU,2019,4.397803,8.402811,83148144.0,
High-income countries,,2019,3.713458,6.3255606,1214846354.0,
India,IND,2019,2.3886878,3.577764,1383112064.0,
Iran,IRN,2019,5.735966,8.987118,86564208.0,
Japan,JPN,2019,1.975151,2.7251344,125791680.0,
Lower-middle-income countries,,2019,2.5662444,4.049379,3326051409.0,
Netherlands,NLD,2019,5.313206,8.468911,17363260.0,
New Zealand,NZL,2019,5.156941,9.264441,4959033.0,
Niger,NER,2019,2.0724788,3.3609972,23443400.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Peru,PER,2019,4.1563544,6.9738283,32824864.0,
Philippines,PHL,2019,3.143611,5.8526974,110380800.0,
Portugal,PRT,2019,6.180541,10.191256,10289921.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,3.0311005,6.813025,47131372.0,
United States,USA,2019,4.461773,7.208798,334319680.0,
Vietnam,VNM,2019,1.66395,2.9719734,95776712.0,
World,OWID_WRL,2019,2.93364,4.6946654,7764951040.0,
