Entity,Code,Year,"Hospital beds (per 1,000 people)"
Croatia,HRV,1980,7.2348
Croatia,HRV,1990,7.3778
Croatia,HRV,2000,6.15
Croatia,HRV,2010,5.78
Honduras,HND,1960,1.6462513
Honduras,HND,1970,1.7531
Honduras,HND,1980,1.3241
Honduras,HND,1990,1.0067
Honduras,HND,2010,0.8
Liberia,LBR,1960,1.3224254
Liberia,LBR,1970,1.5769
Liberia,LBR,2010,0.8
Luxembourg,LUX,1990,7.6
Luxembourg,LUX,2000,6.2
Luxembourg,LUX,2010,5.37
Luxembourg,LUX,2019,4.26
Mexico,MEX,1980,0.7
Mexico,MEX,1990,1.0
Mexico,MEX,2000,1.05
Mexico,MEX,2010,1.05
Mozambique,MOZ,1960,0.8088728
Mozambique,MOZ,1970,1.1752
Mozambique,MOZ,1980,1.0897
Mozambique,MOZ,1990,0.8671
Papua New Guinea,PNG,1970,6.6024
Papua New Guinea,PNG,1980,5.5444
Papua New Guinea,PNG,1990,4.0242
Saudi Arabia,SAU,1960,0.77472395
Saudi Arabia,SAU,1970,1.1814
Saudi Arabia,SAU,1990,2.4964
Saudi Arabia,SAU,2000,2.3
Saudi Arabia,SAU,2010,2.2
United States,USA,1960,9.2
United States,USA,1970,7.9
United States,USA,1980,6.0
United States,USA,1990,4.9
United States,USA,2000,3.49
United States,USA,2010,3.05
Yemen,YEM,1960,0.45454547
Yemen,YEM,1970,0.8097
Yemen,YEM,1990,0.8362
Yemen,YEM,2000,0.59
Yemen,YEM,2010,0.72
