Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged age-standardized",$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Albania,ALB,2019,17.543667,0.0,2873883.0,
Angola,AGO,2019,68.38518,,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,79.25479,,165516224.0,
Benin,BEN,2019,143.48445,,12290443.0,
Bhutan,BTN,2019,70.04097,,767467.0,
Burkina Faso,BFA,2019,175.1003,,20951638.0,
Cameroon,CMR,2019,84.9465,,25782342.0,
Central African Republic,CAF,2019,251.24039,,5209329.0,
Chad,TCD,2019,195.55023,,16126868.0,
China,CHN,2019,20.729332,0.14242858,1421864064.0,
Comoros,COM,2019,113.36182,,790993.0,
Cote d'Ivoire,CIV,2019,118.36305,,26147544.0,
Djibouti,DJI,2019,32.754246,,1073999.0,
Ethiopia,ETH,2019,129.95076,,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,44.900414,1.3182689,918472.0,
Georgia,GEO,2019,25.903658,4.8486285,3770814.0,
Ghana,GHA,2019,69.71187,,31522294.0,
Guinea,GIN,2019,184.96194,,12877537.0,
Guinea-Bissau,GNB,2019,198.90402,,1970460.0,
India,IND,2019,59.58832,12.731296,1383112064.0,
Indonesia,IDN,2019,40.952076,4.380574,269582880.0,
Kenya,KEN,2019,97.86996,,50951452.0,
Kiribati,KIR,2019,193.45674,1.6780767,124252.0,
Laos,LAO,2019,155.40918,,7212058.0,
Lesotho,LSO,2019,133.44032,,2225710.0,
Malawi,MWI,2019,141.89943,70.0606,18867340.0,
Mali,MLI,2019,156.12474,,20567430.0,
Mozambique,MOZ,2019,185.45926,74.38077,30285602.0,
Myanmar,MMR,2019,119.72459,,53040212.0,
Nicaragua,NIC,2019,45.45284,,6663919.0,
Niger,NER,2019,199.51459,,23443400.0,
Nigeria,NGA,2019,83.22526,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,92.62799,,223293280.0,
Philippines,PHL,2019,60.884007,,110380800.0,
Rwanda,RWA,2019,122.665215,,12835029.0,
South Africa,ZAF,2019,11.59852,,58087060.0,
South America,,2019,,,428318218.0,
Tajikistan,TJK,2019,63.41456,,9337008.0,
Tanzania,TZA,2019,126.78804,,59872584.0,
Togo,TGO,2019,131.60027,,8243093.0,
United States,USA,2019,0.026754245,0.99917054,334319680.0,
Vanuatu,VUT,2019,217.72653,9.963333,304414.0,
Yemen,YEM,2019,69.576546,,31546694.0,
Zambia,ZMB,2019,111.10663,,18380478.0,
Zimbabwe,ZWE,2019,130.5083,39.75453,15354606.0,
