Entity,Code,Year,Prevalence - Neoplasms - Sex: Both - Age: Age-standardized (Percent),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2017,,,1263333997.0,
Argentina,ARG,2017,1.17686883139,23597.117,44054616.0,
Asia,,2017,,,4547095064.0,
Belarus,BLR,2017,1.5745808987399998,18356.102,9707874.0,
Bermuda,BMU,2017,1.54040908084,81834.95,63295.0,
Bhutan,BTN,2017,0.266290918438,10986.888,756130.0,
Brazil,BRA,2017,0.775327050705,14477.861,208504960.0,
Burundi,BDI,2017,0.387557281052,750.7876,11155592.0,
Canada,CAN,2017,4.62972777229,48317.176,36554344.0,
China,CHN,2017,1.45428902671,14243.532,1410275968.0,
Dominica,DMA,2017,1.27798278702,11511.606,70422.0,
Equatorial Guinea,GNQ,2017,0.4990742836879999,19617.844,1450703.0,
Ethiopia,ETH,2017,0.392153928109,1987.9688,108197944.0,
Europe,,2017,,,745657647.0,
France,FRA,2017,2.09177409168,44577.066,64144092.0,
Georgia,GEO,2017,1.07300124881,13589.707,3771904.0,
Germany,DEU,2017,2.3984786060800003,53071.457,82624368.0,
Haiti,HTI,2017,0.658358719216,3187.7898,10863546.0,
India,IND,2017,0.312306273401,6112.0664,1354195712.0,
Indonesia,IDN,2017,0.426835825278,10941.921,264498848.0,
Ireland,IRL,2017,2.35453010744,77749.2,4771860.0,
Israel,ISR,2017,1.45240551946,39121.297,8309256.0,
Jamaica,JAM,2017,1.08557106204,9984.577,2808388.0,
Japan,JPN,2017,2.98518540428,41444.215,126662464.0,
Kenya,KEN,2017,0.377934053138,4312.9087,48948140.0,
Kiribati,KIR,2017,0.678854190432,1962.3196,120378.0,
Kuwait,KWT,2017,0.729435742696,50007.3,4124904.0,
Lebanon,LBN,2017,2.20075524701,17808.076,6109255.0,
Lithuania,LTU,2017,1.90991889302,33761.87,2904452.0,
Luxembourg,LUX,2017,2.56311758327,114985.84,596290.0,
Mexico,MEX,2017,0.894715490698,20032.408,122839256.0,
Morocco,MAR,2017,0.628089440016,7921.619,35528116.0,
Mozambique,MOZ,2017,0.45759823795,1287.2349,28569448.0,
Myanmar,MMR,2017,0.586053380702,4312.9473,52288344.0,
Nepal,NPL,2017,0.258782805802,3495.5288,28183424.0,
North America,,2017,5.33775441479,,581258143.0,
Norway,NOR,2017,3.14972045541,64050.758,5277396.0,
Oceania,,2017,0.642218995919,,41817267.0,
Oman,OMN,2017,0.645021568675,34218.387,4541853.0,
Puerto Rico,PRI,2017,1.24440414005,34363.754,3366407.0,
Qatar,QAT,2017,0.998635471376,92177.59,2711764.0,
Russia,RUS,2017,1.75443620618,25926.443,145452544.0,
Saudi Arabia,SAU,2017,0.908721274686,45795.51,34193120.0,
Slovakia,SVK,2017,2.11595950981,30061.55,5439418.0,
South America,,2017,,,420982650.0,
Switzerland,CHE,2017,2.1109499546299997,69103.57,8451688.0,
Tonga,TON,2017,0.8863118911569999,6256.9814,105430.0,
Tunisia,TUN,2017,0.731108243757,10874.947,11811441.0,
Turkey,TUR,2017,0.95246870953,27582.832,82089824.0,
United Kingdom,GBR,2017,2.79115551711,46372.387,66064808.0,
United States,USA,2017,5.42440701046,59914.777,329791232.0,
