Entity,Code,Year,"Deaths that are from all causes attributed to high fasting plasma glucose per 100,000 people, in both sexes aged all ages"
Colombia,COL,1990,48.702793
Colombia,COL,1995,52.411873
Colombia,COL,2000,55.012527
Colombia,COL,2005,55.426517
Colombia,COL,2010,58.710293
Colombia,COL,2015,63.2215
Colombia,COL,2019,71.54149
Lesotho,LSO,1990,55.690613
Lesotho,LSO,1995,60.004898
Lesotho,LSO,2000,79.87973
Lesotho,LSO,2005,106.25489
Lesotho,LSO,2010,120.07098
Lesotho,LSO,2015,128.78079
Lesotho,LSO,2019,123.65497
Myanmar,MMR,1990,80.726616
Myanmar,MMR,1995,89.64698
Myanmar,MMR,2000,89.22561
Myanmar,MMR,2005,97.78625
Myanmar,MMR,2010,107.38985
Myanmar,MMR,2015,114.93475
Myanmar,MMR,2019,124.37378
