Entity,Code,Year,Share of the urban population using at least basic drinking water services
High-income countries,,2000,99.36152
High-income countries,,2005,99.42643
High-income countries,,2010,99.486694
High-income countries,,2015,99.603226
High-income countries,,2020,99.64045
High-income countries,,2022,99.6525
Low-income countries,,2000,76.790924
Low-income countries,,2005,77.220505
Low-income countries,,2010,78.17527
Low-income countries,,2015,78.49528
Low-income countries,,2020,79.589134
Low-income countries,,2022,79.8926
Lower-middle-income countries,,2000,90.978035
Lower-middle-income countries,,2005,91.59047
Lower-middle-income countries,,2010,92.29315
Lower-middle-income countries,,2015,93.16459
Lower-middle-income countries,,2020,94.23432
Lower-middle-income countries,,2022,94.58051
Upper-middle-income countries,,2000,96.65678
Upper-middle-income countries,,2005,97.13753
Upper-middle-income countries,,2010,97.63939
Upper-middle-income countries,,2015,98.12785
Upper-middle-income countries,,2020,98.580055
Upper-middle-income countries,,2022,98.698006
World,OWID_WRL,2000,95.240944
World,OWID_WRL,2005,95.49253
World,OWID_WRL,2010,95.80768
World,OWID_WRL,2015,96.151054
World,OWID_WRL,2020,96.54878
World,OWID_WRL,2022,96.64703
