Entity,Code,Year,Top 1% - Share (Pretax) (Estimated),Gini coefficient (Pretax) (Estimated),Population (historical estimates),Continent
Afghanistan,AFG,2021,,,40099460.0,
Africa,,2021,,,1393676724.0,
Angola,AGO,2021,,,34503776.0,
Argentina,ARG,2021,,,45276788.0,
Asia,,2021,,,4693332132.0,
Australia,AUS,2021,,,25921094.0,
Belgium,BEL,2021,,,11611416.0,
Brazil,BRA,2021,,,214326224.0,
Bulgaria,BGR,2021,,,6885864.0,
Canada,CAN,2021,,,38155012.0,
Chile,CHL,2021,,,19493184.0,
China,CHN,2021,,,1425893504.0,
Colombia,COL,2021,,,51516560.0,
Czechia,CZE,2021,,,10510748.0,
Dominican Republic,DOM,2021,28.61,0.67137253,11117873.0,
Ecuador,ECU,2021,,,17797736.0,
Eswatini,SWZ,2021,,,1192273.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,,,64531448.0,
Georgia,GEO,2021,,,3757984.0,
Germany,DEU,2021,,,83408560.0,
Hungary,HUN,2021,,,9709784.0,
Iran,IRN,2021,,,87923432.0,
Japan,JPN,2021,12.860001,0.5364196,124612528.0,
Lesotho,LSO,2021,,,2281464.0,
Malawi,MWI,2021,,,19889742.0,
Malta,MLT,2021,,,526751.0,
Mexico,MEX,2021,,,126705136.0,
Netherlands,NLD,2021,,,17501696.0,
Nigeria,NGA,2021,,,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,,,231402112.0,
Peru,PER,2021,,,33715464.0,
Philippines,PHL,2021,,,113880336.0,
Poland,POL,2021,,,38307724.0,
Portugal,PRT,2021,,,10290109.0,
Russia,RUS,2021,,,145102752.0,
Rwanda,RWA,2021,,,13461891.0,
Slovakia,SVK,2021,,,5447621.0,
Slovenia,SVN,2021,,,2119408.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,,,51830136.0,
South Sudan,SSD,2021,,,10748278.0,
Spain,ESP,2021,,,47486932.0,
Sweden,SWE,2021,,,10467095.0,
Tanzania,TZA,2021,,,63588332.0,
Turkey,TUR,2021,,,84775408.0,
Uganda,UGA,2021,,,45853780.0,
United States,USA,2021,19.03,0.577273,336997632.0,
