Entity,Code,Year,net_energy_traded_goods
Italy,ITA,1995,312.5463183
Italy,ITA,2000,558.6390187
Italy,ITA,2005,637.3112554
Italy,ITA,2010,608.4359408
Italy,ITA,2015,401.2000911
Italy,ITA,2020,412.3479591
Luxembourg,LUX,1995,-6.034640312
Luxembourg,LUX,2000,3.038380685
Luxembourg,LUX,2005,2.36469634
Luxembourg,LUX,2010,7.995738999
Luxembourg,LUX,2015,30.86466292
Luxembourg,LUX,2020,21.96679037
Norway,NOR,1995,39.36230566
Norway,NOR,2000,-41.55173649
Norway,NOR,2005,16.9039889
Norway,NOR,2010,29.89175455
Norway,NOR,2015,8.212484034
Norway,NOR,2020,11.71472924
Slovakia,SVK,1995,24.5807725
Slovakia,SVK,2000,11.34568214
Slovakia,SVK,2005,15.51762457
Slovakia,SVK,2010,24.50014578
Slovakia,SVK,2015,16.26848323
Slovakia,SVK,2020,0.578476773
South Africa,ZAF,1995,-88.96180458
South Africa,ZAF,2000,-368.8741089
South Africa,ZAF,2005,-295.283889
South Africa,ZAF,2010,-333.4702563
South Africa,ZAF,2015,-359.5620366
South Africa,ZAF,2020,-574.204136
Spain,ESP,1995,106.2032011
Spain,ESP,2000,189.8512004
Spain,ESP,2005,325.7793765
Spain,ESP,2010,189.2088322
Spain,ESP,2015,68.85755416
Spain,ESP,2020,47.04779988
